,price_in_nok
2018-01-01,543.4157768917084
2018-01-02,542.7642968654633
2018-01-03,552.4075366020202
2018-01-04,556.8641753768921
2018-01-05,549.7588287734985
2018-01-06,549.7588287734985
2018-01-07,549.7588287734985
2018-01-08,553.0992877197266
2018-01-09,558.1180389404296
2018-01-10,563.2332326126099
2018-01-11,568.185168800354
2018-01-12,557.8651637268066
2018-01-13,557.8651637268066
2018-01-14,557.8651637268066
2018-01-15,556.70051445961
2018-01-16,547.1565372467041
2018-01-17,545.5216284513473
2018-01-18,547.3981789398193
2018-01-19,537.3664350891113
2018-01-20,537.3664350891113
2018-01-21,537.3664350891113
2018-01-22,543.7391621208191
2018-01-23,549.2790298032761
2018-01-24,546.4375270795822
2018-01-25,550.2658129501343
2018-01-26,537.9480899047851
2018-01-27,537.9480899047851
2018-01-28,537.9480899047851
2018-01-29,527.4479528999328
2018-01-30,525.552558259964
2018-01-31,521.1604287910461
2018-02-01,528.7619432449341
2018-02-02,516.2488107204438
2018-02-03,516.2488107204438
2018-02-04,516.2488107204438
2018-02-05,523.4941393661499
2018-02-06,523.4868890047073
2018-02-07,513.9027400875091
2018-02-08,507.93673576354985
2018-02-09,501.9686010742187
2018-02-10,501.9686010742187
2018-02-11,501.9686010742187
2018-02-12,494.52110071182256
2018-02-13,488.65706104278564
2018-02-14,488.9515739250183
2018-02-15,488.2021897602081
2018-02-16,497.68842401504514
2018-02-17,497.68842401504514
2018-02-18,497.68842401504514
2018-02-19,504.6614987611771
2018-02-20,505.33189950943
2018-02-21,509.2769671440125
2018-02-22,521.7529063796998
2018-02-23,527.4774351501466
2018-02-24,527.4774351501466
2018-02-25,527.4774351501466
2018-02-26,531.6850706291199
2018-02-27,528.4321455287934
2018-02-28,522.0121868896484
2018-03-01,507.2114666461945
2018-03-02,504.5631004714966
2018-03-03,504.5631004714966
2018-03-04,504.5631004714966
2018-03-05,515.004762248993
2018-03-06,513.7889517116547
2018-03-07,507.83218297958376
2018-03-08,498.50533903598784
2018-03-09,508.49503705501553
2018-03-10,508.49503705501553
2018-03-11,508.49503705501553
2018-03-12,501.46262409210203
2018-03-13,498.3653451919556
2018-03-14,491.3745349884033
2018-03-15,492.42379311561587
2018-03-16,499.1549600028992
2018-03-17,499.1549600028992
2018-03-18,499.1549600028992
2018-03-19,501.4540147590637
2018-03-20,508.6487989425659
2018-03-21,526.8608221054078
2018-03-22,530.918372631073
2018-03-23,536.5011486768723
2018-03-24,536.5011486768723
2018-03-25,536.5011486768723
2018-03-26,532.4242456579209
2018-03-27,525.9459934806823
2018-03-28,527.9189406681061
2018-03-29,534.8152837944031
2018-03-30,534.8152837944031
2018-03-31,534.8152837944031
2018-04-01,534.8152837944031
2018-04-02,534.8152837944031
2018-04-03,542.8354057407379
2018-04-04,517.6215081596375
2018-04-05,519.7239739894867
2018-04-06,522.2498240804673
2018-04-07,522.2498240804673
2018-04-08,522.2498240804673
2018-04-09,533.2048746585846
2018-04-10,551.4662808036804
2018-04-11,566.7900666809081
2018-04-12,555.8460690689087
2018-04-13,569.2599127197266
2018-04-14,569.2599127197266
2018-04-15,569.2599127197266
2018-04-16,570.0502482891084
2018-04-17,556.7564356231688
2018-04-18,572.5871648120881
2018-04-19,580.7237324237823
2018-04-20,581.2450355148316
2018-04-21,581.2450355148316
2018-04-22,581.2450355148316
2018-04-23,584.0209028434754
2018-04-24,598.0423175239563
2018-04-25,584.5643749332429
2018-04-26,600.4361020231247
2018-04-27,601.6682523679733
2018-04-28,601.6682523679733
2018-04-29,601.6682523679733
2018-04-30,604.9153866577149
2018-05-01,596.3898405075073
2018-05-02,590.0935082817077
2018-05-03,594.9964427947998
2018-05-04,602.2383065223694
2018-05-05,602.2383065223694
2018-05-06,602.2383065223694
2018-05-07,603.1502830982208
2018-05-08,597.9965453338623
2018-05-09,633.1538978576659
2018-05-10,633.0723058605195
2018-05-11,620.4686978816986
2018-05-12,620.4686978816986
2018-05-13,620.4686978816986
2018-05-14,624.797194428444
2018-05-15,632.9961500549316
2018-05-16,634.3242195320129
2018-05-17,649.7381601524353
2018-05-18,636.1477910423279
2018-05-19,636.1477910423279
2018-05-20,636.1477910423279
2018-05-21,635.8231430244446
2018-05-22,649.2548150825501
2018-05-23,636.6178713798523
2018-05-24,638.1668503761292
2018-05-25,621.7315628051757
2018-05-26,621.7315628051757
2018-05-27,621.7315628051757
2018-05-28,623.5546348571777
2018-05-29,612.434914302826
2018-05-30,626.5402800655365
2018-05-31,624.5353356838226
2018-06-01,609.2229091453553
2018-06-02,609.2229091453553
2018-06-03,609.2229091453553
2018-06-04,598.6511794281006
2018-06-05,590.6074627876282
2018-06-06,593.609709033966
2018-06-07,605.3833380508423
2018-06-08,606.9113578701019
2018-06-09,606.9113578701019
2018-06-10,606.9113578701019
2018-06-11,600.6523763465881
2018-06-12,602.5182107353211
2018-06-13,604.1257992267608
2018-06-14,598.7132650279998
2018-06-15,586.2428247261047
2018-06-16,586.2428247261047
2018-06-17,586.2428247261047
2018-06-18,611.6055082702637
2018-06-19,614.0293230819702
2018-06-20,608.2708282470703
2018-06-21,597.1332127761841
2018-06-22,595.7987901496888
2018-06-23,595.7987901496888
2018-06-24,595.7987901496888
2018-06-25,592.0775821113585
2018-06-26,597.1458209419251
2018-06-27,618.6269473743439
2018-06-28,625.6370760726929
2018-06-29,630.7642706298828
2018-06-30,630.7642706298828
2018-07-01,630.7642706298828
