,price_oil,price_el
2018-01-01,543.4158,255.1625
2018-01-02,542.7643,311.53
2018-01-03,552.40753,276.98834
2018-01-04,556.8642,311.56293
2018-01-05,549.75885,304.32626
2018-01-06,549.75885,302.67126
2018-01-07,549.75885,276.78708
2018-01-08,553.0993,314.34332
2018-01-09,558.11804,293.95123
2018-01-10,563.2332,385.95792
2018-01-11,568.1852,415.54333
2018-01-12,557.8652,344.6329
2018-01-13,557.8652,301.0725
2018-01-14,557.8652,288.1225
2018-01-15,556.7005,286.26834
2018-01-16,547.15656,310.41333
2018-01-17,545.5216,324.48584
2018-01-18,547.3982,344.08957
2018-01-19,537.36646,382.57166
2018-01-20,537.36646,303.5
2018-01-21,537.36646,302.65793
2018-01-22,543.73914,377.2979
2018-01-23,549.27905,327.63458
2018-01-24,546.4375,276.5525
2018-01-25,550.2658,285.4921
2018-01-26,537.9481,310.59708
2018-01-27,537.9481,297.1721
2018-01-28,537.9481,269.00626
2018-01-29,527.44794,280.60916
2018-01-30,525.55255,307.93292
2018-01-31,521.1604,285.07126
2018-02-01,528.76196,294.7746
2018-02-02,516.24884,340.0025
2018-02-03,516.24884,328.7925
2018-02-04,516.24884,322.99542
2018-02-05,523.49414,433.82083
2018-02-06,523.4869,456.92584
2018-02-07,513.9027,439.12582
2018-02-08,507.93674,384.4504
2018-02-09,501.9686,312.3021
2018-02-10,501.9686,316.31293
2018-02-11,501.9686,289.82166
2018-02-12,494.5211,306.65833
2018-02-13,488.65707,363.4075
2018-02-14,488.95157,349.21542
2018-02-15,488.20218,317.76584
2018-02-16,497.68842,351.1054
2018-02-17,497.68842,368.60916
2018-02-18,497.68842,348.7971
2018-02-19,504.6615,388.66458
2018-02-20,505.3319,431.8375
2018-02-21,509.27698,411.2875
2018-02-22,521.7529,426.7229
2018-02-23,527.4774,406.86417
2018-02-24,527.4774,368.1146
2018-02-25,527.4774,371.7671
2018-02-26,531.68506,440.43542
2018-02-27,528.4321,394.0821
2018-02-28,522.0122,386.81042
2018-03-01,507.21146,388.5125
2018-03-02,504.5631,426.81418
2018-03-03,504.5631,398.5725
2018-03-04,504.5631,392.15457
2018-03-05,515.00476,499.9025
2018-03-06,513.78894,467.48627
2018-03-07,507.83218,453.09583
2018-03-08,498.50534,388.74042
2018-03-09,508.49503,391.39667
2018-03-10,508.49503,358.06668
2018-03-11,508.49503,348.56543
2018-03-12,501.46262,408.3579
2018-03-13,498.36536,393.84708
2018-03-14,491.37454,452.5325
2018-03-15,492.4238,369.2954
2018-03-16,499.15497,368.2725
2018-03-17,499.15497,361.16208
2018-03-18,499.15497,356.81082
2018-03-19,501.454,405.06583
2018-03-20,508.6488,405.5075
2018-03-21,526.86084,401.32083
2018-03-22,530.9184,385.11084
2018-03-23,536.50116,422.89377
2018-03-24,536.50116,385.7954
2018-03-25,536.50116,380.66397
2018-03-26,532.42426,456.6696
2018-03-27,525.946,430.50833
2018-03-28,527.91895,377.8925
2018-03-29,534.8153,391.0675
2018-03-30,534.8153,393.1175
2018-03-31,534.8153,388.09625
2018-04-01,534.8153,380.8625
2018-04-02,534.8153,387.0275
2018-04-03,542.8354,407.30124
2018-04-04,517.6215,405.8925
2018-04-05,519.724,394.43793
2018-04-06,522.2498,391.13126
2018-04-07,522.2498,374.7621
2018-04-08,522.2498,379.70374
2018-04-09,533.2049,415.22583
2018-04-10,551.4663,375.525
2018-04-11,566.79004,379.63208
2018-04-12,555.84607,382.30667
2018-04-13,569.2599,379.37085
2018-04-14,569.2599,375.21167
2018-04-15,569.2599,382.35626
2018-04-16,570.05023,425.28168
2018-04-17,556.7564,402.11584
2018-04-18,572.58716,401.4129
2018-04-19,580.72375,381.6954
2018-04-20,581.24506,349.96375
2018-04-21,581.24506,305.1629
2018-04-22,581.24506,336.6029
2018-04-23,584.0209,335.97
2018-04-24,598.0423,336.34207
2018-04-25,584.5644,355.46292
2018-04-26,600.4361,353.7346
2018-04-27,601.6683,358.33792
2018-04-28,601.6683,344.905
2018-04-29,601.6683,338.78207
2018-04-30,604.9154,306.0679
2018-05-01,596.38983,290.42624
2018-05-02,590.0935,356.25375
2018-05-03,594.99646,353.52542
2018-05-04,602.2383,356.28293
2018-05-05,602.2383,310.12
2018-05-06,602.2383,228.51125
2018-05-07,603.15027,298.42334
2018-05-08,597.9965,268.9975
2018-05-09,633.1539,228.85374
2018-05-10,633.0723,163.30708
2018-05-11,620.4687,252.75542
2018-05-12,620.4687,291.065
2018-05-13,620.4687,180.98334
2018-05-14,624.7972,308.6429
2018-05-15,632.99615,334.31
2018-05-16,634.3242,333.88333
2018-05-17,649.73816,281.26874
2018-05-18,636.14777,301.64957
2018-05-19,636.14777,335.67416
2018-05-20,636.14777,242.1375
2018-05-21,635.8231,290.02835
2018-05-22,649.2548,361.33167
2018-05-23,636.61786,376.5875
2018-05-24,638.1669,369.0271
2018-05-25,621.73157,371.9454
2018-05-26,621.73157,369.39374
2018-05-27,621.73157,360.55835
2018-05-28,623.5546,378.79376
2018-05-29,612.43494,393.8829
2018-05-30,626.5403,392.79416
2018-05-31,624.53534,404.70584
2018-06-01,609.2229,408.77374
2018-06-02,609.2229,399.2475
2018-06-03,609.2229,403.0925
2018-06-04,598.6512,405.86667
2018-06-05,590.6075,430.15707
2018-06-06,593.6097,440.42166
2018-06-07,605.38336,448.54498
2018-06-08,606.9114,455.99417
2018-06-09,606.9114,436.70624
2018-06-10,606.9114,437.02792
2018-06-11,600.6524,441.40875
2018-06-12,602.5182,439.19708
2018-06-13,604.1258,441.82083
2018-06-14,598.71326,436.34543
2018-06-15,586.2428,422.03458
2018-06-16,586.2428,411.29083
2018-06-17,586.2428,404.24042
2018-06-18,611.6055,415.08292
2018-06-19,614.0293,398.1721
2018-06-20,608.2708,407.45126
2018-06-21,597.13324,401.02417
2018-06-22,595.79877,390.2321
2018-06-23,595.79877,385.63876
2018-06-24,595.79877,400.70374
2018-06-25,592.0776,427.34457
2018-06-26,597.1458,435.61667
2018-06-27,618.62695,442.62708
2018-06-28,625.6371,441.43292
2018-06-29,630.7643,438.71
2018-06-30,630.7643,439.84375
2018-07-01,630.7643,434.75958
2018-07-02,627.1196,470.75708
2018-07-03,619.1902,475.0871
2018-07-04,624.1348,479.3571
2018-07-05,623.3266,482.22583
2018-07-06,602.1119,467.00418
2018-07-07,602.1119,454.22958
2018-07-08,602.1119,463.85208
2018-07-09,618.1585,472.11124
2018-07-10,622.25214,478.63876
2018-07-11,606.4846,486.00043
2018-07-12,583.6295,491.0504
2018-07-13,602.166,499.80292
2018-07-14,602.166,490.10416
2018-07-15,602.166,489.37332
2018-07-16,575.8686,501.61334
2018-07-17,573.48004,497.20917
2018-07-18,576.8818,492.625
2018-07-19,590.6418,493.88916
2018-07-20,591.49866,509.0079
2018-07-21,591.49866,505.8871
2018-07-22,591.49866,504.15833
2018-07-23,600.83563,516.425
2018-07-24,604.4166,515.9154
2018-07-25,601.86176,516.9362
2018-07-26,606.4145,509.06375
2018-07-27,612.3184,505.825
2018-07-28,612.3184,482.56876
2018-07-29,612.3184,479.31042
2018-07-30,614.1906,500.23502
2018-07-31,602.6761,505.1679
2018-08-01,590.79504,508.08624
2018-08-02,598.09515,506.26
2018-08-03,597.7788,510.21542
2018-08-04,597.7788,492.83917
2018-08-05,597.7788,473.225
2018-08-06,598.9326,497.2025
2018-08-07,594.6413,499.93
2018-08-08,579.1432,484.68
2018-08-09,580.02686,484.53207
2018-08-10,592.5873,451.99
2018-08-11,592.5873,450.75208
2018-08-12,592.5873,434.43668
2018-08-13,593.3068,471.07083
2018-08-14,591.0144,475.395
2018-08-15,576.01263,477.0475
2018-08-16,583.2535,480.15
2018-08-17,593.61584,479.46625
2018-08-18,593.61584,460.24707
2018-08-19,593.61584,442.17374
2018-08-20,601.2066,476.40375
2018-08-21,603.9164,482.84625
2018-08-22,613.5352,481.56708
2018-08-23,616.21326,488.43542
2018-08-24,622.7373,485.20334
2018-08-25,622.7373,490.41083
2018-08-26,622.7373,486.64874
2018-08-27,622.36523,475.91583
2018-08-28,631.71545,529.87085
2018-08-29,636.5081,544.8846
2018-08-30,642.93604,529.0675
2018-08-31,641.61804,556.3721
2018-09-01,641.61804,556.6592
2018-09-02,641.61804,546.8325
2018-09-03,652.2345,565.9679
2018-09-04,649.78955,561.2208
2018-09-05,644.9555,570.77875
2018-09-06,636.7025,566.90625
2018-09-07,635.26215,558.7596
2018-09-08,635.26215,532.5596
2018-09-09,635.26215,522.0004
2018-09-10,646.081,539.53375
2018-09-11,653.8488,506.61084
2018-09-12,667.5748,505.99084
2018-09-13,641.53375,516.895
2018-09-14,639.8344,509.63333
2018-09-15,639.8344,467.9179
2018-09-16,639.8344,431.71832
2018-09-17,645.47144,473.18542
2018-09-18,646.4105,432.4075
2018-09-19,647.68805,416.11667
2018-09-20,644.53705,403.07916
2018-09-21,642.2381,349.89835
2018-09-22,642.2381,206.37
2018-09-23,642.2381,318.20084
2018-09-24,659.3667,325.54208
2018-09-25,669.12366,373.7325
2018-09-26,664.74347,282.5196
2018-09-27,662.5696,327.0104
2018-09-28,674.6312,371.90167
2018-09-29,674.6312,362.17917
2018-09-30,674.6312,319.82
2018-10-01,693.6116,429.11835
2018-10-02,700.8987,432.80667
2018-10-03,697.2891,424.55957
2018-10-04,708.48517,450.67166
2018-10-05,701.8485,436.78168
2018-10-06,701.8485,442.70792
2018-10-07,701.8485,440.77124
2018-10-08,696.20465,439.63834
2018-10-09,705.51654,415.115
2018-10-10,689.168,415.6679
2018-10-11,669.8847,387.1096
2018-10-12,660.57904,399.5104
2018-10-13,660.57904,322.10876
2018-10-14,660.57904,171.05042
2018-10-15,661.3017,322.82666
2018-10-16,656.0376,393.91833
2018-10-17,651.0827,375.7725
2018-10-18,660.2667,382.3829
2018-10-19,663.81824,383.09042
2018-10-20,663.81824,385.105
2018-10-21,663.81824,384.1121
2018-10-22,659.90717,357.93
2018-10-23,650.82904,337.31458
2018-10-24,640.6459,398.98874
2018-10-25,644.5042,418.07584
2018-10-26,646.80084,446.16708
2018-10-27,646.80084,420.47168
2018-10-28,646.80084,420.09833
2018-10-29,648.0914,424.90625
2018-10-30,634.3876,408.41626
2018-10-31,629.14996,407.80167
2018-11-01,597.0323,422.69708
2018-11-02,591.94806,421.845
2018-11-03,591.94806,415.8725
2018-11-04,591.94806,415.0446
2018-11-05,608.4479,429.915
