,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
0,2018-07-02 16:00:00,15.0,500,600
1,2018-07-02 17:00:00,17.6,500,600
2,2018-07-02 18:00:00,16.0,500,600
3,2018-07-02 19:00:00,11.2,500,600
4,2018-07-02 20:00:00,11.2,500,600
5,2018-07-02 21:00:00,8.0,500,600
6,2018-07-02 22:00:00,6.4,500,600
7,2018-07-02 23:00:00,6.4,500,600
8,2018-07-03 00:00:00,8.0,500,600
9,2018-07-03 01:00:00,9.6,500,600
10,2018-07-03 02:00:00,6.4,500,600
11,2018-07-03 03:00:00,8.0,500,600
12,2018-07-03 04:00:00,8.0,500,600
13,2018-07-03 05:00:00,6.4,500,600
14,2018-07-03 06:00:00,4.8,500,600
15,2018-07-03 07:00:00,6.4,500,600
16,2018-07-03 08:00:00,20.8,500,600
17,2018-07-03 09:00:00,20.8,500,600
18,2018-07-03 10:00:00,22.4,500,600
19,2018-07-03 11:00:00,22.4,500,600
20,2018-07-03 12:00:00,20.8,500,600
21,2018-07-03 13:00:00,22.4,500,600
22,2018-07-03 14:00:00,20.8,500,600
23,2018-07-03 15:00:00,22.4,500,600
24,2018-07-03 16:00:00,20.8,500,600
25,2018-07-03 17:00:00,16.0,500,600
26,2018-07-03 18:00:00,6.4,500,600
27,2018-07-03 19:00:00,4.8,500,600
28,2018-07-03 20:00:00,4.8,500,600
29,2018-07-03 21:00:00,6.4,500,600
30,2018-07-03 22:00:00,9.6,500,600
31,2018-07-03 23:00:00,11.2,500,600
32,2018-07-04 00:00:00,9.6,500,600
33,2018-07-04 01:00:00,6.4,500,600
34,2018-07-04 02:00:00,8.0,500,600
35,2018-07-04 03:00:00,8.0,500,600
36,2018-07-04 04:00:00,8.0,500,600
37,2018-07-04 05:00:00,4.8,500,600
38,2018-07-04 06:00:00,4.8,500,600
39,2018-07-04 07:00:00,8.0,500,600
40,2018-07-04 08:00:00,20.8,500,600
41,2018-07-04 09:00:00,24.0,500,600
42,2018-07-04 10:00:00,22.4,500,600
43,2018-07-04 11:00:00,24.0,500,600
44,2018-07-04 12:00:00,22.4,500,600
45,2018-07-04 13:00:00,20.8,500,600
46,2018-07-04 14:00:00,20.8,500,600
47,2018-07-04 15:00:00,22.4,500,600
48,2018-07-04 16:00:00,22.4,500,600
49,2018-07-04 17:00:00,17.6,500,600
50,2018-07-04 18:00:00,8.0,500,600
51,2018-07-04 19:00:00,6.4,500,600
52,2018-07-04 20:00:00,8.0,500,600
53,2018-07-04 21:00:00,6.4,500,600
54,2018-07-04 22:00:00,11.2,500,600
55,2018-07-04 23:00:00,9.6,500,600
56,2018-07-05 00:00:00,6.4,500,600
57,2018-07-05 01:00:00,6.4,500,600
58,2018-07-05 02:00:00,8.0,500,600
59,2018-07-05 03:00:00,8.0,500,600
60,2018-07-05 04:00:00,8.0,500,600
61,2018-07-05 05:00:00,4.8,500,600
62,2018-07-05 06:00:00,3.2,500,600
63,2018-07-05 07:00:00,9.6,500,600
64,2018-07-05 08:00:00,19.2,500,600
65,2018-07-05 09:00:00,19.2,500,600
66,2018-07-05 10:00:00,22.4,500,600
67,2018-07-05 11:00:00,22.4,500,600
68,2018-07-05 12:00:00,22.4,500,600
69,2018-07-05 13:00:00,22.4,500,600
70,2018-07-05 14:00:00,22.4,500,600
71,2018-07-05 15:00:00,19.2,500,600
72,2018-07-05 16:00:00,22.4,500,600
73,2018-07-05 17:00:00,19.2,500,600
74,2018-07-05 18:00:00,14.4,500,600
75,2018-07-05 19:00:00,11.2,500,600
76,2018-07-05 20:00:00,6.4,500,600
77,2018-07-05 21:00:00,4.8,500,600
78,2018-07-05 22:00:00,4.8,500,600
79,2018-07-05 23:00:00,6.4,500,600
80,2018-07-06 00:00:00,8.0,500,600
81,2018-07-06 01:00:00,8.0,500,600
82,2018-07-06 02:00:00,8.0,500,600
83,2018-07-06 03:00:00,8.0,500,600
84,2018-07-06 04:00:00,8.0,500,600
85,2018-07-06 05:00:00,4.8,500,600
86,2018-07-06 06:00:00,4.8,500,600
87,2018-07-06 07:00:00,9.6,500,600
88,2018-07-06 08:00:00,19.2,500,600
89,2018-07-06 09:00:00,22.4,500,600
90,2018-07-06 10:00:00,20.8,500,600
91,2018-07-06 11:00:00,24.0,500,600
92,2018-07-06 12:00:00,20.8,500,600
93,2018-07-06 13:00:00,24.0,500,600
94,2018-07-06 14:00:00,20.8,500,600
95,2018-07-06 15:00:00,20.8,500,600
96,2018-07-06 16:00:00,20.8,500,600
97,2018-07-06 17:00:00,17.6,500,600
98,2018-07-06 18:00:00,9.6,500,600
99,2018-07-06 19:00:00,6.4,500,600
100,2018-07-06 20:00:00,4.8,500,600
101,2018-07-06 21:00:00,6.4,500,600
102,2018-07-06 22:00:00,4.8,500,600
103,2018-07-06 23:00:00,4.8,500,600
104,2018-07-07 00:00:00,8.0,500,600
105,2018-07-07 01:00:00,8.0,500,600
106,2018-07-07 02:00:00,8.0,500,600
107,2018-07-07 03:00:00,8.0,500,600
108,2018-07-07 04:00:00,6.4,500,600
109,2018-07-07 05:00:00,6.4,500,600
110,2018-07-07 06:00:00,3.2,500,600
111,2018-07-07 07:00:00,4.8,500,600
112,2018-07-07 08:00:00,9.6,500,600
113,2018-07-07 09:00:00,12.8,500,600
114,2018-07-07 10:00:00,19.2,500,600
115,2018-07-07 11:00:00,24.0,500,600
116,2018-07-07 12:00:00,24.0,500,600
117,2018-07-07 13:00:00,22.4,500,600
118,2018-07-07 14:00:00,19.2,500,600
119,2018-07-07 15:00:00,11.2,500,600
