Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
2018-10-03 01:00:00,0.0,500,600
2018-10-03 02:00:00,100.129915609672,500,600
2018-10-03 03:00:00,97.1648084442099,500,600
2018-10-03 04:00:00,100.129915609672,500,600
2018-10-03 05:00:00,97.1648084442099,500,600
2018-10-03 06:00:00,100.129915609672,500,600
2018-10-03 07:00:00,106.066017177982,500,600
2018-10-03 08:00:00,117.345643293648,500,600
2018-10-03 09:00:00,141.127601836069,500,600
2018-10-03 10:00:00,138.032604843928,500,600
2018-10-03 11:00:00,135.033329219123,500,600
2018-10-03 12:00:00,138.032604843928,500,600
2018-10-03 13:00:00,129.034879005639,500,600
2018-10-03 14:00:00,126.0357092256,500,600
2018-10-03 15:00:00,111.04053313993,500,600
2018-10-03 16:00:00,108.041658632215,500,600
2018-10-03 17:00:00,102.04410811017,500,600
2018-10-03 18:00:00,99.18165152889921,500,600
2018-10-03 19:00:00,93.0483745156249,500,600
2018-10-03 20:00:00,102.703456611742,500,600
2018-10-03 21:00:00,102.396288995256,500,600
2018-10-03 22:00:00,102.396288995256,500,600
2018-10-03 23:00:00,102.703456611742,500,600
2018-10-04 00:00:00,99.72462083156799,500,600
2018-10-04 01:00:00,93.7709976485267,500,600
2018-10-04 02:00:00,99.72462083156799,500,600
2018-10-04 03:00:00,100.129915609672,500,600
2018-10-04 04:00:00,99.72462083156799,500,600
2018-10-04 05:00:00,100.129915609672,500,600
2018-10-04 06:00:00,96.74709297958259,500,600
2018-10-04 07:00:00,103.097041664638,500,600
2018-10-04 08:00:00,114.35471131527599,500,600
2018-10-04 09:00:00,129.034879005639,500,600
2018-10-04 10:00:00,132.136293273271,500,600
2018-10-04 11:00:00,129.034879005639,500,600
2018-10-04 12:00:00,129.13945950018498,500,600
2018-10-04 13:00:00,123.03657992645901,500,600
2018-10-04 14:00:00,120.037494142455,500,600
2018-10-04 15:00:00,111.162043881893,500,600
2018-10-04 16:00:00,111.04053313993,500,600
2018-10-04 17:00:00,105.04284840007,500,600
2018-10-04 18:00:00,96.18731725128842,500,600
2018-10-04 19:00:00,96.18731725128842,500,600
2018-10-04 20:00:00,99.40824915468541,500,600
2018-10-04 21:00:00,96.4209520799292,500,600
2018-10-04 22:00:00,99.72462083156799,500,600
2018-10-04 23:00:00,96.74709297958259,500,600
2018-10-05 00:00:00,96.74709297958259,500,600
2018-10-05 01:00:00,96.4209520799292,500,600
2018-10-05 02:00:00,93.7709976485267,500,600
2018-10-05 03:00:00,93.7709976485267,500,600
2018-10-05 04:00:00,96.74709297958259,500,600
2018-10-05 05:00:00,96.74709297958259,500,600
2018-10-05 06:00:00,90.79647570252929,500,600
2018-10-05 07:00:00,99.72462083156799,500,600
2018-10-05 08:00:00,117.345643293648,500,600
2018-10-05 09:00:00,126.142776249772,500,600
2018-10-05 10:00:00,132.034086507992,500,600
2018-10-05 11:00:00,126.142776249772,500,600
2018-10-05 12:00:00,123.03657992645901,500,600
2018-10-05 13:00:00,120.149906367005,500,600
2018-10-05 14:00:00,111.162043881893,500,600
2018-10-05 15:00:00,105.04284840007,500,600
2018-10-05 16:00:00,108.16653826392,500,600
2018-10-05 17:00:00,99.04544411531509,500,600
2018-10-05 18:00:00,96.18731725128842,500,600
2018-10-05 19:00:00,93.1933474020544,500,600
2018-10-05 20:00:00,96.18731725128842,500,600
2018-10-05 21:00:00,99.40824915468541,500,600
2018-10-05 22:00:00,99.40824915468541,500,600
2018-10-05 23:00:00,93.7709976485267,500,600
2018-10-06 00:00:00,99.72462083156799,500,600
2018-10-06 01:00:00,96.4209520799292,500,600
2018-10-06 02:00:00,97.1648084442099,500,600
2018-10-06 03:00:00,96.4209520799292,500,600
2018-10-06 04:00:00,97.1648084442099,500,600
2018-10-06 05:00:00,96.74709297958259,500,600
2018-10-06 06:00:00,99.72462083156799,500,600
2018-10-06 07:00:00,97.1648084442099,500,600
2018-10-06 08:00:00,93.43446901438459,500,600
2018-10-06 09:00:00,81.4984662432367,500,600
2018-10-06 10:00:00,90.1997782702374,500,600
2018-10-06 11:00:00,87.4642784226795,500,600
2018-10-06 12:00:00,87.20665112249179,500,600
2018-10-06 13:00:00,90.04998611882179,500,600
2018-10-06 14:00:00,87.20665112249179,500,600
2018-10-06 15:00:00,87.20665112249179,500,600
2018-10-06 16:00:00,87.05170877128151,500,600
2018-10-06 17:00:00,87.20665112249179,500,600
2018-10-06 18:00:00,87.20665112249179,500,600
2018-10-06 19:00:00,90.1997782702374,500,600
2018-10-06 20:00:00,93.43446901438459,500,600
2018-10-06 21:00:00,96.4209520799292,500,600
2018-10-06 22:00:00,96.74709297958259,500,600
2018-10-06 23:00:00,99.72462083156799,500,600
2018-10-07 00:00:00,99.40824915468541,500,600
2018-10-07 01:00:00,99.72462083156799,500,600
2018-10-07 02:00:00,102.703456611742,500,600
2018-10-07 03:00:00,96.74709297958259,500,600
2018-10-07 04:00:00,103.097041664638,500,600
2018-10-07 05:00:00,99.72462083156799,500,600
2018-10-07 06:00:00,99.72462083156799,500,600
2018-10-07 07:00:00,100.129915609672,500,600
2018-10-07 08:00:00,96.4209520799292,500,600
