Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
01-01-18 00:00,150.0,"1,000",1200
01-01-18 01:00,132.0,"1,000",1200
01-01-18 02:00,138.0,"1,000",1200
01-01-18 03:00,144.0,"1,000",1200
01-01-18 04:00,150.0,"1,000",1200
01-01-18 05:00,138.0,"1,000",1200
01-01-18 06:00,144.0,"1,000",1200
01-01-18 07:00,174.0,"1,000",1200
01-01-18 08:00,180.0,"1,000",1200
01-01-18 09:00,168.0,"1,000",1200
01-01-18 10:00,174.0,"1,000",1200
01-01-18 11:00,180.0,"1,000",1200
01-01-18 12:00,168.0,"1,000",1200
01-01-18 13:00,168.0,"1,000",1200
01-01-18 14:00,168.0,"1,000",1200
01-01-18 15:00,168.0,"1,000",1200
01-01-18 16:00,180.0,"1,000",1200
01-01-18 17:00,162.0,"1,000",1200
01-01-18 18:00,150.0,"1,000",1200
01-01-18 19:00,150.0,"1,000",1200
01-01-18 20:00,150.0,"1,000",1200
01-01-18 21:00,138.0,"1,000",1200
01-01-18 22:00,144.0,"1,000",1200
01-01-18 23:00,150.0,"1,000",1200
02-01-18 00:00,156.0,"1,000",1200
02-01-18 01:00,144.0,"1,000",1200
02-01-18 02:00,144.0,"1,000",1200
02-01-18 03:00,150.0,"1,000",1200
02-01-18 04:00,144.0,"1,000",1200
02-01-18 05:00,156.0,"1,000",1200
02-01-18 06:00,156.0,"1,000",1200
02-01-18 07:00,192.0,"1,000",1200
02-01-18 08:00,198.0,"1,000",1200
02-01-18 09:00,204.0,"1,000",1200
02-01-18 10:00,210.0,"1,000",1200
02-01-18 11:00,198.0,"1,000",1200
02-01-18 12:00,204.0,"1,000",1200
02-01-18 13:00,192.0,"1,000",1200
02-01-18 14:00,186.0,"1,000",1200
02-01-18 15:00,198.0,"1,000",1200
02-01-18 16:00,192.0,"1,000",1200
02-01-18 17:00,168.0,"1,000",1200
02-01-18 18:00,156.0,"1,000",1200
02-01-18 19:00,162.0,"1,000",1200
02-01-18 20:00,156.0,"1,000",1200
02-01-18 21:00,150.0,"1,000",1200
02-01-18 22:00,150.0,"1,000",1200
02-01-18 23:00,150.0,"1,000",1200
03-01-18 00:00,150.0,"1,000",1200
03-01-18 01:00,156.0,"1,000",1200
03-01-18 02:00,150.0,"1,000",1200
03-01-18 03:00,144.0,"1,000",1200
03-01-18 04:00,138.0,"1,000",1200
03-01-18 05:00,144.0,"1,000",1200
03-01-18 06:00,144.0,"1,000",1200
03-01-18 07:00,174.0,"1,000",1200
03-01-18 08:00,186.0,"1,000",1200
03-01-18 09:00,198.0,"1,000",1200
03-01-18 10:00,192.0,"1,000",1200
03-01-18 11:00,216.0,"1,000",1200
03-01-18 12:00,216.0,"1,000",1200
03-01-18 13:00,216.0,"1,000",1200
03-01-18 14:00,222.0,"1,000",1200
03-01-18 15:00,222.0,"1,000",1200
03-01-18 16:00,210.0,"1,000",1200
03-01-18 17:00,174.0,"1,000",1200
03-01-18 18:00,174.0,"1,000",1200
03-01-18 19:00,156.0,"1,000",1200
03-01-18 20:00,156.0,"1,000",1200
03-01-18 21:00,162.0,"1,000",1200
03-01-18 22:00,156.0,"1,000",1200
03-01-18 23:00,156.0,"1,000",1200
04-01-18 00:00,150.0,"1,000",1200
04-01-18 01:00,156.0,"1,000",1200
04-01-18 02:00,150.0,"1,000",1200
04-01-18 03:00,150.0,"1,000",1200
04-01-18 04:00,162.0,"1,000",1200
04-01-18 05:00,156.0,"1,000",1200
04-01-18 06:00,150.0,"1,000",1200
04-01-18 07:00,186.0,"1,000",1200
04-01-18 08:00,198.0,"1,000",1200
04-01-18 09:00,204.0,"1,000",1200
04-01-18 10:00,222.0,"1,000",1200
04-01-18 11:00,228.0,"1,000",1200
04-01-18 12:00,228.0,"1,000",1200
04-01-18 13:00,222.0,"1,000",1200
04-01-18 14:00,234.0,"1,000",1200
04-01-18 15:00,234.0,"1,000",1200
04-01-18 16:00,222.0,"1,000",1200
04-01-18 17:00,198.0,"1,000",1200
04-01-18 18:00,168.0,"1,000",1200
04-01-18 19:00,162.0,"1,000",1200
04-01-18 20:00,156.0,"1,000",1200
04-01-18 21:00,162.0,"1,000",1200
04-01-18 22:00,156.0,"1,000",1200
04-01-18 23:00,168.0,"1,000",1200
05-01-18 00:00,162.0,"1,000",1200
05-01-18 01:00,150.0,"1,000",1200
05-01-18 02:00,156.0,"1,000",1200
05-01-18 03:00,150.0,"1,000",1200
05-01-18 04:00,156.0,"1,000",1200
05-01-18 05:00,150.0,"1,000",1200
05-01-18 06:00,156.0,"1,000",1200
05-01-18 07:00,192.0,"1,000",1200
05-01-18 08:00,204.0,"1,000",1200
05-01-18 09:00,216.0,"1,000",1200
05-01-18 10:00,222.0,"1,000",1200
05-01-18 11:00,222.0,"1,000",1200
05-01-18 12:00,234.0,"1,000",1200
05-01-18 13:00,228.0,"1,000",1200
05-01-18 14:00,222.0,"1,000",1200
05-01-18 15:00,216.0,"1,000",1200
05-01-18 16:00,216.0,"1,000",1200
05-01-18 17:00,174.0,"1,000",1200
05-01-18 18:00,162.0,"1,000",1200
05-01-18 19:00,162.0,"1,000",1200
05-01-18 20:00,174.0,"1,000",1200
05-01-18 21:00,168.0,"1,000",1200
05-01-18 22:00,162.0,"1,000",1200
05-01-18 23:00,156.0,"1,000",1200
06-01-18 00:00,168.0,"1,000",1200
06-01-18 01:00,168.0,"1,000",1200
06-01-18 02:00,168.0,"1,000",1200
06-01-18 03:00,168.0,"1,000",1200
06-01-18 04:00,162.0,"1,000",1200
06-01-18 05:00,156.0,"1,000",1200
06-01-18 06:00,162.0,"1,000",1200
06-01-18 07:00,174.0,"1,000",1200
06-01-18 08:00,174.0,"1,000",1200
06-01-18 09:00,174.0,"1,000",1200
06-01-18 10:00,180.0,"1,000",1200
06-01-18 11:00,180.0,"1,000",1200
06-01-18 12:00,180.0,"1,000",1200
06-01-18 13:00,168.0,"1,000",1200
06-01-18 14:00,174.0,"1,000",1200
06-01-18 15:00,180.0,"1,000",1200
06-01-18 16:00,174.0,"1,000",1200
06-01-18 17:00,168.0,"1,000",1200
06-01-18 18:00,162.0,"1,000",1200
06-01-18 19:00,168.0,"1,000",1200
06-01-18 20:00,174.0,"1,000",1200
06-01-18 21:00,180.0,"1,000",1200
06-01-18 22:00,174.0,"1,000",1200
06-01-18 23:00,180.0,"1,000",1200
07-01-18 00:00,174.0,"1,000",1200
07-01-18 01:00,180.0,"1,000",1200
07-01-18 02:00,180.0,"1,000",1200
07-01-18 03:00,174.0,"1,000",1200
07-01-18 04:00,186.0,"1,000",1200
07-01-18 05:00,186.0,"1,000",1200
07-01-18 06:00,192.0,"1,000",1200
07-01-18 07:00,198.0,"1,000",1200
07-01-18 08:00,198.0,"1,000",1200
07-01-18 09:00,198.0,"1,000",1200
07-01-18 10:00,204.0,"1,000",1200
07-01-18 11:00,198.0,"1,000",1200
07-01-18 12:00,198.0,"1,000",1200
07-01-18 13:00,186.0,"1,000",1200
07-01-18 14:00,180.0,"1,000",1200
07-01-18 15:00,174.0,"1,000",1200
07-01-18 16:00,180.0,"1,000",1200
07-01-18 17:00,174.0,"1,000",1200
07-01-18 18:00,168.0,"1,000",1200
07-01-18 19:00,168.0,"1,000",1200
07-01-18 20:00,168.0,"1,000",1200
07-01-18 21:00,168.0,"1,000",1200
07-01-18 22:00,174.0,"1,000",1200
07-01-18 23:00,168.0,"1,000",1200
08-01-18 00:00,168.0,"1,000",1200
08-01-18 01:00,156.0,"1,000",1200
08-01-18 02:00,162.0,"1,000",1200
08-01-18 03:00,162.0,"1,000",1200
08-01-18 04:00,168.0,"1,000",1200
08-01-18 05:00,156.0,"1,000",1200
08-01-18 06:00,168.0,"1,000",1200
08-01-18 07:00,210.0,"1,000",1200
08-01-18 08:00,222.0,"1,000",1200
08-01-18 09:00,228.0,"1,000",1200
08-01-18 10:00,234.0,"1,000",1200
08-01-18 11:00,240.0,"1,000",1200
08-01-18 12:00,234.0,"1,000",1200
08-01-18 13:00,228.0,"1,000",1200
08-01-18 14:00,216.0,"1,000",1200
08-01-18 15:00,216.0,"1,000",1200
08-01-18 16:00,216.0,"1,000",1200
08-01-18 17:00,192.0,"1,000",1200
08-01-18 18:00,174.0,"1,000",1200
08-01-18 19:00,168.0,"1,000",1200
08-01-18 20:00,174.0,"1,000",1200
08-01-18 21:00,162.0,"1,000",1200
08-01-18 22:00,162.0,"1,000",1200
08-01-18 23:00,168.0,"1,000",1200
09-01-18 00:00,168.0,"1,000",1200
09-01-18 01:00,168.0,"1,000",1200
09-01-18 02:00,162.0,"1,000",1200
09-01-18 03:00,174.0,"1,000",1200
09-01-18 04:00,168.0,"1,000",1200
09-01-18 05:00,168.0,"1,000",1200
09-01-18 06:00,174.0,"1,000",1200
09-01-18 07:00,204.0,"1,000",1200
09-01-18 08:00,210.0,"1,000",1200
09-01-18 09:00,228.0,"1,000",1200
09-01-18 10:00,240.0,"1,000",1200
09-01-18 11:00,246.0,"1,000",1200
09-01-18 12:00,252.0,"1,000",1200
09-01-18 13:00,246.0,"1,000",1200
09-01-18 14:00,240.0,"1,000",1200
09-01-18 15:00,246.0,"1,000",1200
09-01-18 16:00,234.0,"1,000",1200
09-01-18 17:00,192.0,"1,000",1200
09-01-18 18:00,168.0,"1,000",1200
09-01-18 19:00,168.0,"1,000",1200
09-01-18 20:00,162.0,"1,000",1200
09-01-18 21:00,168.0,"1,000",1200
09-01-18 22:00,168.0,"1,000",1200
09-01-18 23:00,168.0,"1,000",1200
10-01-18 00:00,168.0,"1,000",1200
10-01-18 01:00,162.0,"1,000",1200
10-01-18 02:00,156.0,"1,000",1200
10-01-18 03:00,162.0,"1,000",1200
10-01-18 04:00,162.0,"1,000",1200
10-01-18 05:00,162.0,"1,000",1200
10-01-18 06:00,162.0,"1,000",1200
10-01-18 07:00,198.0,"1,000",1200
10-01-18 08:00,204.0,"1,000",1200
10-01-18 09:00,228.0,"1,000",1200
10-01-18 10:00,234.0,"1,000",1200
10-01-18 11:00,252.0,"1,000",1200
10-01-18 12:00,282.0,"1,000",1200
10-01-18 13:00,288.0,"1,000",1200
10-01-18 14:00,276.0,"1,000",1200
10-01-18 15:00,282.0,"1,000",1200
10-01-18 16:00,282.0,"1,000",1200
10-01-18 17:00,204.0,"1,000",1200
10-01-18 18:00,186.0,"1,000",1200
10-01-18 19:00,180.0,"1,000",1200
10-01-18 20:00,180.0,"1,000",1200
10-01-18 21:00,174.0,"1,000",1200
10-01-18 22:00,174.0,"1,000",1200
10-01-18 23:00,168.0,"1,000",1200
11-01-18 00:00,168.0,"1,000",1200
11-01-18 01:00,168.0,"1,000",1200
11-01-18 02:00,168.0,"1,000",1200
11-01-18 03:00,162.0,"1,000",1200
11-01-18 04:00,168.0,"1,000",1200
11-01-18 05:00,174.0,"1,000",1200
11-01-18 06:00,174.0,"1,000",1200
11-01-18 07:00,210.0,"1,000",1200
11-01-18 08:00,234.0,"1,000",1200
11-01-18 09:00,252.0,"1,000",1200
11-01-18 10:00,264.0,"1,000",1200
11-01-18 11:00,252.0,"1,000",1200
11-01-18 12:00,246.0,"1,000",1200
11-01-18 13:00,246.0,"1,000",1200
11-01-18 14:00,234.0,"1,000",1200
11-01-18 15:00,240.0,"1,000",1200
11-01-18 16:00,228.0,"1,000",1200
11-01-18 17:00,204.0,"1,000",1200
11-01-18 18:00,186.0,"1,000",1200
11-01-18 19:00,180.0,"1,000",1200
11-01-18 20:00,168.0,"1,000",1200
11-01-18 21:00,174.0,"1,000",1200
11-01-18 22:00,168.0,"1,000",1200
11-01-18 23:00,162.0,"1,000",1200
12-01-18 00:00,168.0,"1,000",1200
12-01-18 01:00,168.0,"1,000",1200
12-01-18 02:00,168.0,"1,000",1200
12-01-18 03:00,168.0,"1,000",1200
12-01-18 04:00,162.0,"1,000",1200
12-01-18 05:00,168.0,"1,000",1200
12-01-18 06:00,174.0,"1,000",1200
12-01-18 07:00,204.0,"1,000",1200
12-01-18 08:00,222.0,"1,000",1200
12-01-18 09:00,228.0,"1,000",1200
12-01-18 10:00,246.0,"1,000",1200
12-01-18 11:00,252.0,"1,000",1200
12-01-18 12:00,252.0,"1,000",1200
12-01-18 13:00,252.0,"1,000",1200
