,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
01-01-20,00 - 01,"30,84","28,78","28,78","28,78","28,78","28,78","33,42","33,42","31,82","31,82","31,82","28,78","28,78","28,78","28,78","28,78","28,78"
01-01-20,01 - 02,"30,63","28,45","28,45","28,45","28,45","28,45","31,77","31,77","31,77","31,77","31,77","28,45","28,45","28,45","28,45","28,45","28,45"
01-01-20,02 - 03,"30,38","27,90","27,90","27,90","27,90","27,90","31,57","31,57","31,57","31,57","31,57","27,90","27,90","27,90","27,90","27,90","27,90"
01-01-20,03 - 04,"30,04","27,52","27,52","27,52","27,52","27,52","31,28","31,28","31,28","31,28","31,28","27,52","27,52","27,52","27,52","27,52","27,52"
01-01-20,04 - 05,"29,56","27,54","27,54","27,54","27,54","27,54","30,85","30,85","30,72","30,72","30,72","27,54","27,54","27,54","27,54","27,54","27,54"
01-01-20,05 - 06,"28,10","26,55","26,55","26,55","26,55","26,55","30,14","30,14","30,27","30,27","30,27","26,55","26,55","26,55","26,55","26,55","26,55"
01-01-20,06 - 07,"27,57","25,83","25,83","25,83","25,83","25,83","30,17","30,17","30,17","30,17","30,17","25,83","25,83","25,83","25,83","25,83","25,83"
01-01-20,07 - 08,"27,35","25,07","25,07","25,07","25,07","25,07","30,00","30,00","30,14","30,14","30,14","25,07","25,07","25,07","25,07","25,07","25,07"
01-01-20,08 - 09,"27,99","25,65","25,65","25,65","25,65","25,65","30,63","30,63","30,49","30,49","30,49","25,65","25,65","25,65","25,65","25,65","25,65"
01-01-20,09 - 10,"28,36","26,15","26,15","26,15","26,15","26,15","30,59","30,59","30,59","30,59","30,59","26,15","26,15","26,15","26,15","26,15","26,15"
01-01-20,10 - 11,"28,45","26,77","26,77","26,77","26,77","26,77","30,27","30,27","30,27","30,27","30,27","26,77","26,77","26,77","26,77","26,77","26,77"
01-01-20,11 - 12,"29,02","27,40","27,40","27,40","27,40","27,40","30,34","30,34","30,34","30,34","30,34","27,40","27,40","27,40","27,40","27,40","27,40"
01-01-20,12 - 13,"29,40","28,08","28,08","28,08","28,08","28,08","30,59","30,59","30,59","30,59","30,59","28,08","28,08","28,08","28,08","28,08","28,08"
01-01-20,13 - 14,"29,41","28,69","28,69","28,69","28,69","28,69","30,04","30,04","30,38","30,38","30,38","28,69","28,69","28,69","28,69","28,69","28,69"
