,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
01-01-19,00 - 01,"44,55","28,32","28,32","28,32","28,32","28,32","28,32","28,32","48,77","48,77","48,77","45,36","45,36","45,36","28,32","28,32","28,32"
01-01-19,01 - 02,"44,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07","49,25","49,25","49,25","45,31","45,31","45,31","10,07","10,07","10,07"
01-01-19,02 - 03,"41,12","10,03","10,03","10,03","10,03","10,03","-4,08","-4,08","49,17","49,17","49,17","45,37","45,37","45,37","10,03","10,03","10,03"
01-01-19,03 - 04,"38,88","4,56","4,56","4,56","4,56","4,56","-9,91","-9,91","48,37","48,37","48,37","45,21","45,21","45,21","4,56","4,56","4,56"
01-01-19,04 - 05,"35,70","4,83","4,83","4,83","4,83","4,83","-7,41","-7,41","47,19","47,19","47,19","44,90","44,90","44,90","4,83","4,83","4,83"
01-01-19,05 - 06,"35,09","8,09","8,09","8,09","8,09","8,09","-12,55","-12,55","47,37","47,37","47,37","45,16","45,16","45,16","8,09","8,09","8,09"
01-01-19,06 - 07,"36,07","25,54","25,54","25,54","25,54","25,54","-17,25","-17,25","48,16","48,16","48,16","46,17","46,17","46,17","25,54","25,54","25,54"
01-01-19,07 - 08,"41,16","39,16","39,16","39,16","39,16","39,16","-15,07","-15,07","49,09","49,09","49,09","46,10","46,10","46,10","39,16","39,16","39,16"
01-01-19,08 - 09,"42,07","37,66","37,66","37,66","37,66","37,66","-4,93","-4,93","47,63","47,63","47,63","45,75","45,75","45,75","37,66","37,66","37,66"
01-01-19,09 - 10,"41,14","21,52","21,52","21,52","21,52","21,52","-6,33","-6,33","47,99","47,99","47,99","46,01","46,01","46,01","21,52","21,52","21,52"
01-01-19,10 - 11,"43,38","28,25","28,25","28,25","28,25","28,25","-4,93","-4,93","49,20","49,20","49,20","46,92","46,92","46,92","28,25","28,25","28,25"
01-01-19,11 - 12,"43,66","19,29","19,29","19,29","19,29","19,29","0,45","0,45","49,39","49,39","49,39","47,36","47,36","47,36","19,29","19,29","19,29"
