;sourceId;referenceTime;elementId;value;unit;timeOffset
0;SN40880:0;2018-01-01 00:00:00+00:00;max(air_temperature PT1H);-0.1;degC;PT0H
1;SN40880:0;2018-01-01 01:00:00+00:00;max(air_temperature PT1H);0.2;degC;PT0H
2;SN40880:0;2018-01-01 02:00:00+00:00;max(air_temperature PT1H);0.2;degC;PT0H
3;SN40880:0;2018-01-01 03:00:00+00:00;max(air_temperature PT1H);0.3;degC;PT0H
4;SN40880:0;2018-01-01 04:00:00+00:00;max(air_temperature PT1H);0.4;degC;PT0H
5;SN40880:0;2018-01-01 05:00:00+00:00;max(air_temperature PT1H);0.4;degC;PT0H
6;SN40880:0;2018-01-01 06:00:00+00:00;max(air_temperature PT1H);0.4;degC;PT0H
7;SN40880:0;2018-01-01 07:00:00+00:00;max(air_temperature PT1H);0.4;degC;PT0H
8;SN40880:0;2018-01-01 08:00:00+00:00;max(air_temperature PT1H);0.1;degC;PT0H
9;SN40880:0;2018-01-01 09:00:00+00:00;max(air_temperature PT1H);-0.1;degC;PT0H
10;SN40880:0;2018-01-01 10:00:00+00:00;max(air_temperature PT1H);0.0;degC;PT0H
11;SN40880:0;2018-01-01 11:00:00+00:00;max(air_temperature PT1H);0.2;degC;PT0H
12;SN40880:0;2018-01-01 12:00:00+00:00;max(air_temperature PT1H);0.1;degC;PT0H
13;SN40880:0;2018-01-01 13:00:00+00:00;max(air_temperature PT1H);0.0;degC;PT0H
14;SN40880:0;2018-01-01 14:00:00+00:00;max(air_temperature PT1H);0.0;degC;PT0H
15;SN40880:0;2018-01-01 15:00:00+00:00;max(air_temperature PT1H);0.0;degC;PT0H
16;SN40880:0;2018-01-01 16:00:00+00:00;max(air_temperature PT1H);-0.2;degC;PT0H
17;SN40880:0;2018-01-01 17:00:00+00:00;max(air_temperature PT1H);-0.1;degC;PT0H
18;SN40880:0;2018-01-01 18:00:00+00:00;max(air_temperature PT1H);-0.3;degC;PT0H
19;SN40880:0;2018-01-01 19:00:00+00:00;max(air_temperature PT1H);-1.0;degC;PT0H
20;SN40880:0;2018-01-01 20:00:00+00:00;max(air_temperature PT1H);-0.8;degC;PT0H
21;SN40880:0;2018-01-01 21:00:00+00:00;max(air_temperature PT1H);-1.3;degC;PT0H
22;SN40880:0;2018-01-01 22:00:00+00:00;max(air_temperature PT1H);-1.8;degC;PT0H
23;SN40880:0;2018-01-01 23:00:00+00:00;max(air_temperature PT1H);-2.3;degC;PT0H
24;SN40880:0;2018-01-02 00:00:00+00:00;max(air_temperature PT1H);-1.6;degC;PT0H
25;SN40880:0;2018-01-02 01:00:00+00:00;max(air_temperature PT1H);-1.4;degC;PT0H
26;SN40880:0;2018-01-02 02:00:00+00:00;max(air_temperature PT1H);-2.0;degC;PT0H
27;SN40880:0;2018-01-02 03:00:00+00:00;max(air_temperature PT1H);-2.0;degC;PT0H
28;SN40880:0;2018-01-02 04:00:00+00:00;max(air_temperature PT1H);-1.2;degC;PT0H
29;SN40880:0;2018-01-02 05:00:00+00:00;max(air_temperature PT1H);-1.0;degC;PT0H
