;sourceId;referenceTime;elementId;value;unit;timeOffset
0;SN41005:0;2018-01-01 00:00:00;air_temperature;5.0;degC;PT0H
1;SN41005:0;2018-01-01 00:10:00;air_temperature;5.0;degC;PT0H
2;SN41005:0;2018-01-01 00:20:00;air_temperature;4.8;degC;PT0H
3;SN41005:0;2018-01-01 00:30:00;air_temperature;4.9;degC;PT0H
4;SN41005:0;2018-01-01 00:40:00;air_temperature;4.5;degC;PT0H
5;SN41005:0;2018-01-01 00:50:00;air_temperature;4.6;degC;PT0H
6;SN41005:0;2018-01-01 01:00:00;air_temperature;4.8;degC;PT0H
7;SN41005:0;2018-01-01 01:10:00;air_temperature;4.6;degC;PT0H
8;SN41005:0;2018-01-01 01:20:00;air_temperature;4.5;degC;PT0H
9;SN41005:0;2018-01-01 01:30:00;air_temperature;4.4;degC;PT0H
10;SN41005:0;2018-01-01 01:40:00;air_temperature;4.8;degC;PT0H
11;SN41005:0;2018-01-01 01:50:00;air_temperature;5.0;degC;PT0H
12;SN41005:0;2018-01-01 02:00:00;air_temperature;4.5;degC;PT0H
13;SN41005:0;2018-01-01 02:10:00;air_temperature;4.6;degC;PT0H
14;SN41005:0;2018-01-01 02:20:00;air_temperature;4.9;degC;PT0H
15;SN41005:0;2018-01-01 02:30:00;air_temperature;5.1;degC;PT0H
16;SN41005:0;2018-01-01 02:40:00;air_temperature;5.0;degC;PT0H
17;SN41005:0;2018-01-01 02:50:00;air_temperature;4.6;degC;PT0H
18;SN41005:0;2018-01-01 03:00:00;air_temperature;4.3;degC;PT0H
19;SN41005:0;2018-01-01 03:10:00;air_temperature;4.2;degC;PT0H
20;SN41005:0;2018-01-01 03:20:00;air_temperature;4.2;degC;PT0H
21;SN41005:0;2018-01-01 03:30:00;air_temperature;4.3;degC;PT0H
22;SN41005:0;2018-01-01 03:40:00;air_temperature;5.0;degC;PT0H
23;SN41005:0;2018-01-01 03:50:00;air_temperature;5.2;degC;PT0H
24;SN41005:0;2018-01-01 04:00:00;air_temperature;5.0;degC;PT0H
25;SN41005:0;2018-01-01 04:10:00;air_temperature;4.8;degC;PT0H
26;SN41005:0;2018-01-01 04:20:00;air_temperature;4.6;degC;PT0H
27;SN41005:0;2018-01-01 04:30:00;air_temperature;4.9;degC;PT0H
28;SN41005:0;2018-01-01 04:40:00;air_temperature;5.0;degC;PT0H
29;SN41005:0;2018-01-01 04:50:00;air_temperature;4.9;degC;PT0H
30;SN41005:0;2018-01-01 05:00:00;air_temperature;4.9;degC;PT0H
31;SN41005:0;2018-01-01 05:10:00;air_temperature;4.5;degC;PT0H
32;SN41005:0;2018-01-01 05:20:00;air_temperature;4.3;degC;PT0H
33;SN41005:0;2018-01-01 05:30:00;air_temperature;4.4;degC;PT0H
34;SN41005:0;2018-01-01 05:40:00;air_temperature;4.4;degC;PT0H
35;SN41005:0;2018-01-01 05:50:00;air_temperature;4.0;degC;PT0H
36;SN41005:0;2018-01-01 06:00:00;air_temperature;3.9;degC;PT0H
37;SN41005:0;2018-01-01 06:10:00;air_temperature;3.9;degC;PT0H
38;SN41005:0;2018-01-01 06:20:00;air_temperature;3.7;degC;PT0H
39;SN41005:0;2018-01-01 06:30:00;air_temperature;3.5;degC;PT0H
40;SN41005:0;2018-01-01 06:40:00;air_temperature;3.5;degC;PT0H
41;SN41005:0;2018-01-01 06:50:00;air_temperature;3.3;degC;PT0H
42;SN41005:0;2018-01-01 07:00:00;air_temperature;3.5;degC;PT0H
43;SN41005:0;2018-01-01 07:10:00;air_temperature;3.2;degC;PT0H
44;SN41005:0;2018-01-01 07:20:00;air_temperature;2.9;degC;PT0H
45;SN41005:0;2018-01-01 07:30:00;air_temperature;2.7;degC;PT0H
46;SN41005:0;2018-01-01 07:40:00;air_temperature;2.5;degC;PT0H
47;SN41005:0;2018-01-01 07:50:00;air_temperature;2.5;degC;PT0H
48;SN41005:0;2018-01-01 08:00:00;air_temperature;2.4;degC;PT0H
49;SN41005:0;2018-01-01 08:10:00;air_temperature;2.3;degC;PT0H
50;SN41005:0;2018-01-01 08:20:00;air_temperature;2.2;degC;PT0H
