,day,price
0,2017-04-06,53.62
1,2017-04-07,54.24
2,2017-04-10,54.79
3,2017-04-11,54.73
4,2017-04-12,54.75
5,2017-04-13,55.05
6,2017-04-14,.
7,2017-04-17,54.79
8,2017-04-18,52.60
9,2017-04-19,52.43
10,2017-04-20,50.66
11,2017-04-21,49.93
12,2017-04-24,49.45
13,2017-04-25,49.37
14,2017-04-26,49.99
15,2017-04-27,49.46
16,2017-04-28,49.46
17,2017-05-01,50.41
18,2017-05-02,49.31
19,2017-05-03,48.82
20,2017-05-04,47.53
21,2017-05-05,47.45
22,2017-05-08,46.61
23,2017-05-09,47.06
24,2017-05-10,48.09
25,2017-05-11,49.18
26,2017-05-12,49.08
27,2017-05-15,51.29
28,2017-05-16,51.21
29,2017-05-17,51.76
30,2017-05-18,51.71
31,2017-05-19,52.78
32,2017-05-22,53.35
33,2017-05-23,53.19
34,2017-05-24,53.29
35,2017-05-25,52.25
36,2017-05-26,50.84
37,2017-05-29,52.25
38,2017-05-30,50.65
39,2017-05-31,49.40
40,2017-06-01,50.41
41,2017-06-02,48.46
42,2017-06-05,48.25
43,2017-06-06,48.11
44,2017-06-07,47.08
45,2017-06-08,46.30
46,2017-06-09,46.64
47,2017-06-12,47.18
48,2017-06-13,46.95
49,2017-06-14,45.47
50,2017-06-15,45.61
51,2017-06-16,45.70
52,2017-06-19,45.93
53,2017-06-20,43.98
54,2017-06-21,44.62
55,2017-06-22,44.46
56,2017-06-23,44.14
57,2017-06-26,44.09
58,2017-06-27,46.17
59,2017-06-28,46.45
60,2017-06-29,47.02
61,2017-06-30,47.08
62,2017-07-03,49.13
63,2017-07-04,49.15
64,2017-07-05,47.58
65,2017-07-06,48.53
66,2017-07-07,46.47
67,2017-07-10,46.57
68,2017-07-11,46.68
69,2017-07-12,46.73
70,2017-07-13,47.65
71,2017-07-14,47.89
72,2017-07-17,47.66
73,2017-07-18,47.92
74,2017-07-19,48.34
75,2017-07-20,48.54
76,2017-07-21,47.47
77,2017-07-24,47.81
78,2017-07-25,49.19
79,2017-07-26,50.08
80,2017-07-27,50.67
81,2017-07-28,52.00
82,2017-07-31,51.99
83,2017-08-01,50.77
84,2017-08-02,52.09
85,2017-08-03,52.88
86,2017-08-04,52.48
87,2017-08-07,51.42
88,2017-08-08,52.18
89,2017-08-09,52.16
90,2017-08-10,52.59
91,2017-08-11,51.47
92,2017-08-14,51.29
93,2017-08-15,49.90
94,2017-08-16,50.39
95,2017-08-17,50.37
96,2017-08-18,50.96
97,2017-08-21,51.94
98,2017-08-22,52.29
99,2017-08-23,52.31
100,2017-08-24,51.73
101,2017-08-25,51.87
102,2017-08-28,51.87
103,2017-08-29,51.64
104,2017-08-30,51.91
105,2017-08-31,52.69
106,2017-09-01,53.15
107,2017-09-04,52.60
108,2017-09-05,53.63
109,2017-09-06,54.48
110,2017-09-07,54.16
111,2017-09-08,54.55
112,2017-09-11,54.20
113,2017-09-12,55.06
114,2017-09-13,55.52
115,2017-09-14,56.76
116,2017-09-15,56.18
117,2017-09-18,55.50
118,2017-09-19,56.58
119,2017-09-20,57.20
120,2017-09-21,57.73
121,2017-09-22,58.16
122,2017-09-25,59.42
123,2017-09-26,59.77
124,2017-09-27,58.74
125,2017-09-28,58.8
126,2017-09-29,57.02
127,2017-10-02,55.67
128,2017-10-03,56.12
129,2017-10-04,56.0
130,2017-10-05,57.09
131,2017-10-06,55.5
132,2017-10-09,55.29
133,2017-10-10,56.62
134,2017-10-11,56.13
135,2017-10-12,56.13
136,2017-10-13,56.86
137,2017-10-16,57.49
138,2017-10-17,57.63
139,2017-10-18,58.05
140,2017-10-19,57.82
141,2017-10-20,57.89
142,2017-10-23,57.69
143,2017-10-24,57.84
144,2017-10-25,58.45
145,2017-10-26,58.75
146,2017-10-27,60.15
147,2017-10-30,60.65
148,2017-10-31,61.35
149,2017-11-01,60.98
150,2017-11-02,60.79
151,2017-11-03,61.42
152,2017-11-06,64.27
153,2017-11-07,64.36
154,2017-11-08,63.96
155,2017-11-09,64.49
156,2017-11-10,64.35
157,2017-11-13,62.94
158,2017-11-14,60.91
159,2017-11-15,61.25
160,2017-11-16,61.18
161,2017-11-17,61.34
162,2017-11-20,61.34
163,2017-11-21,62.28
164,2017-11-22,62.92
165,2017-11-23,63.27
166,2017-11-24,63.58
167,2017-11-27,63.25
168,2017-11-28,63.56
169,2017-11-29,63.74
170,2017-11-30,63.53
171,2017-12-01,64.57
172,2017-12-04,63.45
173,2017-12-05,63.45
174,2017-12-06,62.25
175,2017-12-07,62.37
176,2017-12-08,63.86
177,2017-12-11,65.62
178,2017-12-12,64.96
179,2017-12-13,63.66
180,2017-12-14,63.72
181,2017-12-15,63.81
182,2017-12-18,64.45
183,2017-12-19,63.69
184,2017-12-20,64.43
185,2017-12-21,64.64
186,2017-12-22,64.61
187,2017-12-25,.
188,2017-12-26,.
189,2017-12-27,66.03
190,2017-12-28,66.8
191,2017-12-29,66.73
192,2018-01-01,.
193,2018-01-02,66.65
194,2018-01-03,67.85
195,2018-01-04,68.73
196,2018-01-05,68.01
197,2018-01-08,68.48
198,2018-01-09,69.08
199,2018-01-10,69.79
200,2018-01-11,70.36
201,2018-01-12,69.64
202,2018-01-15,70.31
203,2018-01-16,69.4
204,2018-01-17,69.19
205,2018-01-18,69.48
206,2018-01-19,68.56
207,2018-01-22,69.32
208,2018-01-23,69.81
209,2018-01-24,69.91
210,2018-01-25,71.08
211,2018-01-26,70.08
212,2018-01-29,68.41
213,2018-01-30,67.78
214,2018-01-31,67.78
215,2018-02-01,68.6
216,2018-02-02,67.45
217,2018-02-05,67.69
218,2018-02-06,66.75
219,2018-02-07,65.74
220,2018-02-08,64.26
221,2018-02-09,63.04
222,2018-02-12,62.2
223,2018-02-13,61.94
224,2018-02-14,62.29
225,2018-02-15,62.86
226,2018-02-16,64.3
227,2018-02-19,64.95
228,2018-02-20,64.68
229,2018-02-21,64.81
230,2018-02-22,66.12
231,2018-02-23,67.04
232,2018-02-26,67.96
233,2018-02-27,67.59
234,2018-02-28,66.08
