,day,price_1_USD
0,2018-01-02,8.1435
1,2018-01-03,8.1416
2,2018-01-04,8.1022
3,2018-01-05,8.0835
4,2018-01-08,8.0768
5,2018-01-09,8.0793
6,2018-01-10,8.0704
7,2018-01-11,8.0754
8,2018-01-12,8.0107
9,2018-01-15,7.9178
10,2018-01-16,7.8841
11,2018-01-17,7.8844
12,2018-01-18,7.8785
13,2018-01-19,7.8379
14,2018-01-22,7.8439
15,2018-01-23,7.8682
16,2018-01-24,7.8163
17,2018-01-25,7.7415
18,2018-01-26,7.6762
19,2018-01-29,7.7101
20,2018-01-30,7.7538
21,2018-01-31,7.689
22,2018-02-01,7.7079
23,2018-02-02,7.6538
24,2018-02-05,7.7337
25,2018-02-06,7.8425
26,2018-02-07,7.8172
27,2018-02-08,7.9044
28,2018-02-09,7.9627
29,2018-02-12,7.9505
30,2018-02-13,7.8892
31,2018-02-14,7.8496
32,2018-02-15,7.7665
33,2018-02-16,7.7401
34,2018-02-19,7.77
35,2018-02-20,7.8128
36,2018-02-21,7.858
37,2018-02-22,7.891
38,2018-02-23,7.8681
39,2018-02-26,7.8235
40,2018-02-27,7.8182
41,2018-02-28,7.8997
42,2018-03-01,7.8968
43,2018-03-02,7.8519
44,2018-03-05,7.8292
45,2018-03-06,7.8238
46,2018-03-07,7.802
47,2018-03-08,7.805
48,2018-03-09,7.8002
49,2018-03-12,7.771
50,2018-03-13,7.7627
51,2018-03-14,7.7248
52,2018-03-15,7.734
53,2018-03-16,7.7173
54,2018-03-19,7.7361
55,2018-03-20,7.7068
56,2018-03-21,7.7309
57,2018-03-22,7.6967
58,2018-03-23,7.772
59,2018-03-26,7.7376
60,2018-03-27,7.6635
61,2018-03-28,7.7487
62,2018-04-03,7.8649
63,2018-04-04,7.838
64,2018-04-05,7.8107
65,2018-04-06,7.8522
66,2018-04-09,7.8194
67,2018-04-10,7.8034
68,2018-04-11,7.792
69,2018-04-12,7.7806
70,2018-04-13,7.7789
71,2018-04-16,7.7897
72,2018-04-17,7.764
73,2018-04-18,7.766
74,2018-04-19,7.7585
75,2018-04-20,7.7894
76,2018-04-23,7.835
77,2018-04-24,7.8835
78,2018-04-25,7.922
79,2018-04-26,7.9644
80,2018-04-27,7.9871
81,2018-04-30,7.9678
82,2018-05-02,8.068
83,2018-05-03,8.1007
84,2018-05-04,8.0567
85,2018-05-07,8.0689
86,2018-05-08,8.0636
87,2018-05-09,8.1592
88,2018-05-11,8.0195
89,2018-05-14,7.9928
90,2018-05-15,8.0187
91,2018-05-16,8.1126
92,2018-05-18,8.1162
93,2018-05-22,8.0733
94,2018-05-23,8.0902
95,2018-05-24,8.0883
96,2018-05-25,8.1166
97,2018-05-28,8.1404
98,2018-05-29,8.2195
99,2018-05-30,8.2559
100,2018-05-31,8.1692
101,2018-06-01,8.1731
102,2018-06-04,8.1549
103,2018-06-05,8.1005
104,2018-06-06,8.1061
105,2018-06-07,8.0471
106,2018-06-08,8.0803
107,2018-06-11,8.0538
108,2018-06-12,8.0486
109,2018-06-13,8.0475
110,2018-06-14,8.0074
111,2018-06-15,8.14
112,2018-06-18,8.1689
113,2018-06-19,8.1958
114,2018-06-20,8.1922
115,2018-06-21,8.1945
116,2018-06-22,8.0874
117,2018-06-25,8.1307
118,2018-06-26,8.1156
119,2018-06-27,8.1302
120,2018-06-28,8.204
121,2018-06-29,8.1452
122,2018-07-02,8.1752
123,2018-07-03,8.1612
124,2018-07-04,8.1067
125,2018-07-05,8.0857
126,2018-07-06,8.0303
127,2018-07-09,8.0197
128,2018-07-10,7.9981
129,2018-07-11,8.0489
130,2018-07-12,8.0936
131,2018-07-13,8.1253
132,2018-07-16,8.1074
133,2018-07-17,8.092
134,2018-07-18,8.1804
135,2018-07-19,8.2102
136,2018-07-20,8.2164
137,2018-07-23,8.1802
138,2018-07-24,8.22
139,2018-07-25,8.1697
140,2018-07-26,8.1387
141,2018-07-27,8.1817
142,2018-07-30,8.1903
143,2018-07-31,8.1267
144,2018-08-01,8.1737
145,2018-08-02,8.1987
146,2018-08-03,8.2475
147,2018-08-06,8.26
148,2018-08-07,8.2235
149,2018-08-08,8.1904
150,2018-08-09,8.2215
151,2018-08-10,8.3463
152,2018-08-13,8.4014
153,2018-08-14,8.3512
154,2018-08-15,8.4237
155,2018-08-16,8.4273
156,2018-08-17,8.4633
157,2018-08-20,8.4546
158,2018-08-21,8.4287
159,2018-08-22,8.4092
160,2018-08-23,8.3577
161,2018-08-24,8.369
162,2018-08-27,8.364
163,2018-08-28,8.3219
164,2018-08-29,8.3674
165,2018-08-30,8.3444
166,2018-08-31,8.3392
167,2018-09-03,8.3824
168,2018-09-04,8.3833
169,2018-09-05,8.411
170,2018-09-06,8.4142
171,2018-09-07,8.4085
172,2018-09-10,8.4158
173,2018-09-11,8.3591
174,2018-09-12,8.3426
175,2018-09-13,8.2608
176,2018-09-14,8.2167
177,2018-09-17,8.252
178,2018-09-18,8.1566
179,2018-09-19,8.1542
180,2018-09-20,8.1556
181,2018-09-21,8.1399
182,2018-09-24,8.1514
183,2018-09-25,8.1392
184,2018-09-26,8.1195
185,2018-09-27,8.1257
186,2018-09-28,8.1556
187,2018-10-01,8.1659
188,2018-10-02,8.1852
189,2018-10-03,8.1602
190,2018-10-04,8.2315
191,2018-10-05,8.2454
192,2018-10-08,8.2665
193,2018-10-09,8.2846
194,2018-10-10,8.222
195,2018-10-11,8.2346
196,2018-10-12,8.1846
197,2018-10-15,8.1733
198,2018-10-16,8.1465
199,2018-10-17,8.1477
200,2018-10-18,8.2225
201,2018-10-19,8.2585
202,2018-10-22,8.2027
203,2018-10-23,8.2729
204,2018-10-24,8.2835
205,2018-10-25,8.3377
206,2018-10-26,8.3566
207,2018-10-29,8.356
208,2018-10-30,8.3825
209,2018-10-31,8.4066
210,2018-11-01,8.3794
211,2018-11-02,8.3244
212,2018-11-05,8.3716
213,2018-11-06,8.3591
214,2018-11-07,8.3415
215,2018-11-08,8.3303
216,2018-11-09,8.4287
217,2018-11-12,8.4755
218,2018-11-13,8.5111
219,2018-11-14,8.4948
220,2018-11-15,8.482
221,2018-11-16,8.4729
222,2018-11-19,8.4415
223,2018-11-20,8.4597
224,2018-11-21,8.5598
225,2018-11-22,8.5334
226,2018-11-23,8.5305
227,2018-11-26,8.567
228,2018-11-27,8.603
229,2018-11-28,8.6064
230,2018-11-29,8.5369
231,2018-11-30,8.5513
232,2018-12-03,8.5158
233,2018-12-04,8.5006
234,2018-12-05,8.5398
235,2018-12-06,8.5365
236,2018-12-07,8.528
237,2018-12-10,8.4591
238,2018-12-11,8.5434
239,2018-12-12,8.5782
240,2018-12-13,8.5578
241,2018-12-14,8.5866
242,2018-12-17,8.6084
243,2018-12-18,8.6566
244,2018-12-19,8.7059
245,2018-12-20,8.7033
246,2018-12-21,8.6506
247,2018-12-27,8.7641
248,2018-12-28,8.7592
249,2018-12-31,8.6911
250,2019-01-02,8.6573
251,2019-01-03,8.7375
252,2019-01-04,8.6551
253,2019-01-07,8.5801
254,2019-01-08,8.5481
255,2019-01-09,8.5289
256,2019-01-10,8.4803
257,2019-01-11,8.4605
258,2019-01-14,8.5536
259,2019-01-15,8.541
260,2019-01-16,8.5433
261,2019-01-17,8.5658
262,2019-01-18,8.5446
263,2019-01-21,8.5619
264,2019-01-22,8.5939
265,2019-01-23,8.5877
266,2019-01-24,8.5748
267,2019-01-25,8.5638
268,2019-01-28,8.5248
269,2019-01-29,8.4994
270,2019-01-30,8.4995
271,2019-01-31,8.4114
272,2019-02-01,8.436
273,2019-02-04,8.4492
274,2019-02-05,8.4705
275,2019-02-06,8.4957
276,2019-02-07,8.5679
277,2019-02-08,8.5945
278,2019-02-11,8.6695
279,2019-02-12,8.6933
280,2019-02-13,8.6337
281,2019-02-14,8.6282
282,2019-02-15,8.6765
283,2019-02-18,8.6258
284,2019-02-19,8.6155
285,2019-02-20,8.5719
286,2019-02-21,8.6146
287,2019-02-22,8.6124
288,2019-02-25,8.5787
289,2019-02-26,8.6213
290,2019-02-27,8.5621
291,2019-02-28,8.5544
292,2019-03-01,8.5555
293,2019-03-04,8.5896
294,2019-03-05,8.6682
295,2019-03-06,8.6777
296,2019-03-07,8.6633
297,2019-03-08,8.8117
298,2019-03-11,8.689
299,2019-03-12,8.6524
300,2019-03-13,8.6426
301,2019-03-14,8.5644
302,2019-03-15,8.5585
303,2019-03-18,8.517
304,2019-03-19,8.5536
305,2019-03-20,8.5309
306,2019-03-21,8.4988
307,2019-03-22,8.4406
308,2019-03-25,8.5501
309,2019-03-26,8.5284
310,2019-03-27,8.5874
311,2019-03-28,8.6536
312,2019-03-29,8.6264
313,2019-04-01,8.5905
314,2019-04-02,8.6037
315,2019-04-03,8.5715
316,2019-04-04,8.5728
317,2019-04-05,8.5953
318,2019-04-08,8.6006
319,2019-04-09,8.5466
320,2019-04-10,8.5157
321,2019-04-11,8.4918
322,2019-04-12,8.5296
323,2019-04-15,8.493
324,2019-04-16,8.4899
325,2019-04-17,8.4712
326,2019-04-23,8.5116
327,2019-04-24,8.5771
328,2019-04-25,8.6393
329,2019-04-26,8.6621
330,2019-04-29,8.6816
331,2019-04-30,8.6584
332,2019-05-02,8.6853
333,2019-05-03,8.7689
334,2019-05-06,8.7576
335,2019-05-07,8.7073
336,2019-05-08,8.7309
337,2019-05-09,8.7723
338,2019-05-10,8.7649
339,2019-05-13,8.7439
340,2019-05-14,8.7419
341,2019-05-15,8.749
342,2019-05-16,8.7198
343,2019-05-20,8.7737
344,2019-05-21,8.7972
345,2019-05-22,8.7701
346,2019-05-23,8.7669
347,2019-05-24,8.7345
348,2019-05-27,8.6897
349,2019-05-28,8.6937
350,2019-05-29,8.7324
351,2019-05-31,8.7837
352,2019-06-03,8.7573
353,2019-06-04,8.6854
354,2019-06-05,8.6916
355,2019-06-06,8.7233
356,2019-06-07,8.6959
357,2019-06-11,8.6761
358,2019-06-12,8.6324
359,2019-06-13,8.6465
360,2019-06-14,8.6776
361,2019-06-17,8.7177
362,2019-06-18,8.73
363,2019-06-19,8.7409
364,2019-06-20,8.631
365,2019-06-21,8.5696
366,2019-06-24,8.4854
367,2019-06-25,8.4954
368,2019-06-26,8.5271
369,2019-06-27,8.5103
370,2019-06-28,8.5102
371,2019-07-01,8.5328
372,2019-07-02,8.564
373,2019-07-03,8.5856
374,2019-07-04,8.5313
375,2019-07-05,8.5398
376,2019-07-08,8.6292
377,2019-07-09,8.644
378,2019-07-10,8.659
379,2019-07-11,8.5614
380,2019-07-12,8.5241
381,2019-07-15,8.532
382,2019-07-16,8.543
383,2019-07-17,8.5928
384,2019-07-18,8.5964
385,2019-07-19,8.5466
386,2019-07-22,8.5759
387,2019-07-23,8.6395
388,2019-07-24,8.6757
389,2019-07-25,8.6489
390,2019-07-26,8.6787
391,2019-07-29,8.7224
392,2019-07-30,8.7179
393,2019-07-31,8.752
394,2019-08-01,8.8808
395,2019-08-02,8.8934
396,2019-08-05,8.9321
397,2019-08-06,8.9023
398,2019-08-07,8.9168
399,2019-08-08,8.9313
400,2019-08-09,8.9146
401,2019-08-12,8.8822
402,2019-08-13,8.9235
403,2019-08-14,8.8964
404,2019-08-15,8.9558
405,2019-08-16,9.0185
406,2019-08-19,9.0076
407,2019-08-20,8.9832
408,2019-08-21,8.9918
409,2019-08-22,8.9589
410,2019-08-23,8.9809
411,2019-08-26,8.9767
412,2019-08-27,9.0122
413,2019-08-28,9.0151
414,2019-08-29,9.0618
415,2019-08-30,9.1122
416,2019-09-02,9.1218
417,2019-09-03,9.1314
418,2019-09-04,9.0758
419,2019-09-05,9.0326
420,2019-09-06,8.9924
421,2019-09-09,8.9634
422,2019-09-10,8.9426
423,2019-09-11,8.9441
424,2019-09-12,8.9502
425,2019-09-13,8.9728
426,2019-09-16,8.9494
427,2019-09-17,8.9751
428,2019-09-18,8.9511
429,2019-09-19,8.9488
430,2019-09-20,8.9695
431,2019-09-23,9.0567
432,2019-09-24,9.0414
433,2019-09-25,9.0228
434,2019-09-26,9.0568
435,2019-09-27,9.0906
436,2019-09-30,9.0808
437,2019-10-01,9.1398
438,2019-10-02,9.1345
439,2019-10-03,9.1427
440,2019-10-04,9.1188
441,2019-10-07,9.1075
442,2019-10-08,9.125
443,2019-10-09,9.1716
444,2019-10-10,9.1413
445,2019-10-11,9.0992
446,2019-10-14,9.1019
447,2019-10-15,9.1123
448,2019-10-16,9.1518
449,2019-10-17,9.2037
450,2019-10-18,9.1821
451,2019-10-21,9.1603
452,2019-10-22,9.1342
453,2019-10-23,9.1866
454,2019-10-24,9.1234
455,2019-10-25,9.1345
456,2019-10-28,9.1952
457,2019-10-29,9.2192
458,2019-10-30,9.2218
459,2019-10-31,9.1638
460,2019-11-01,9.1815
461,2019-11-04,9.0774
462,2019-11-05,9.116
463,2019-11-06,9.201
464,2019-11-07,9.1432
465,2019-11-08,9.1229
466,2019-11-11,9.156
467,2019-11-12,9.1334
468,2019-11-13,9.1873
469,2019-11-14,9.1888
470,2019-11-15,9.1507
471,2019-11-18,9.0877
472,2019-11-19,9.1311
473,2019-11-20,9.1775
474,2019-11-21,9.1454
475,2019-11-22,9.1396
476,2019-11-25,9.1464
477,2019-11-26,9.179
478,2019-11-27,9.1944
479,2019-11-28,9.1764
480,2019-11-29,9.1825
481,2019-12-02,9.22
482,2019-12-03,9.1587
483,2019-12-04,9.2089
484,2019-12-05,9.1509
485,2019-12-06,9.1342
486,2019-12-09,9.1451
487,2019-12-10,9.1478
488,2019-12-11,9.1767
489,2019-12-12,9.1095
490,2019-12-13,9.0468
491,2019-12-16,9.0174
492,2019-12-17,9.0357
493,2019-12-18,9.037
494,2019-12-19,8.9976
495,2019-12-20,8.9881
496,2019-12-23,8.9874
497,2019-12-27,8.8831
498,2019-12-30,8.8119
499,2019-12-31,8.8176
500,2020-01-02,8.7801
501,2020-01-03,8.8182
502,2020-01-06,8.8479
503,2020-01-07,8.8028
504,2020-01-08,8.8494
505,2020-01-09,8.8696
506,2020-01-10,8.8812
507,2020-01-13,8.8811
508,2020-01-14,8.8902
509,2020-01-15,8.8831
510,2020-01-16,8.8732
511,2020-01-17,8.8879
512,2020-01-20,8.9038
513,2020-01-21,8.955
514,2020-01-22,8.9954
515,2020-01-23,8.998
516,2020-01-24,8.9937
517,2020-01-27,9.0889
518,2020-01-28,9.1371
519,2020-01-29,9.1304
520,2020-01-30,9.2144
521,2020-01-31,9.2024
522,2020-02-03,9.1978
523,2020-02-04,9.2548
524,2020-02-05,9.2478
525,2020-02-06,9.2055
526,2020-02-07,9.2545
527,2020-02-10,9.2392
528,2020-02-11,9.2675
529,2020-02-12,9.2263
530,2020-02-13,9.2605
531,2020-02-14,9.2552
532,2020-02-17,9.2435
533,2020-02-18,9.314
534,2020-02-19,9.2926
535,2020-02-20,9.3093
536,2020-02-21,9.3543
537,2020-02-24,9.3661
538,2020-02-25,9.3441
539,2020-02-26,9.3844
540,2020-02-27,9.3871
541,2020-02-28,9.4851
542,2020-03-02,9.3432
543,2020-03-03,9.317
544,2020-03-04,9.2643
545,2020-03-05,9.2688
546,2020-03-06,9.2926
547,2020-03-09,9.5834
548,2020-03-10,9.5141
549,2020-03-11,9.5851
550,2020-03-12,9.8135
551,2020-03-13,10.01
552,2020-03-16,10.27
553,2020-03-17,10.17
554,2020-03-18,10.54
555,2020-03-19,11.94
556,2020-03-20,10.98
557,2020-03-23,11.73
558,2020-03-24,11.09
559,2020-03-25,10.9
560,2020-03-26,10.76
561,2020-03-27,10.48
562,2020-03-30,10.62
563,2020-03-31,10.49
564,2020-04-01,10.51
565,2020-04-02,10.25
566,2020-04-03,10.41
567,2020-04-06,10.54
568,2020-04-07,10.29
569,2020-04-08,10.34
570,2020-04-14,10.29
571,2020-04-15,10.4
572,2020-04-16,10.57
573,2020-04-17,10.42
574,2020-04-20,10.43
575,2020-04-21,10.49
576,2020-04-22,10.65
577,2020-04-23,10.69
578,2020-04-24,10.67
579,2020-04-27,10.65
580,2020-04-28,10.55
581,2020-04-29,10.41
582,2020-04-30,10.32
583,2020-05-04,10.42
