,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
2,2018-01-01 00:00:00,150,1000,1200,1
3,2018-01-01 01:00:00,132,1000,1200,1
4,2018-01-01 02:00:00,138,1000,1200,1
5,2018-01-01 03:00:00,144,1000,1200,1
6,2018-01-01 04:00:00,150,1000,1200,1
7,2018-01-01 05:00:00,138,1000,1200,1
8,2018-01-01 06:00:00,144,1000,1200,1
9,2018-01-01 07:00:00,174,1000,1200,1
10,2018-01-01 08:00:00,180,1000,1200,1
11,2018-01-01 09:00:00,168,1000,1200,1
12,2018-01-01 10:00:00,174,1000,1200,1
13,2018-01-01 11:00:00,180,1000,1200,1
14,2018-01-01 12:00:00,168,1000,1200,1
15,2018-01-01 13:00:00,168,1000,1200,1
16,2018-01-01 14:00:00,168,1000,1200,1
17,2018-01-01 15:00:00,168,1000,1200,1
18,2018-01-01 16:00:00,180,1000,1200,1
19,2018-01-01 17:00:00,162,1000,1200,1
20,2018-01-01 18:00:00,150,1000,1200,1
21,2018-01-01 19:00:00,150,1000,1200,1
22,2018-01-01 20:00:00,150,1000,1200,1
23,2018-01-01 21:00:00,138,1000,1200,1
24,2018-01-01 22:00:00,144,1000,1200,1
25,2018-01-01 23:00:00,150,1000,1200,1
26,2018-01-02 00:00:00,156,1000,1200,1
27,2018-01-02 01:00:00,144,1000,1200,1
28,2018-01-02 02:00:00,144,1000,1200,1
29,2018-01-02 03:00:00,150,1000,1200,1
30,2018-01-02 04:00:00,144,1000,1200,1
31,2018-01-02 05:00:00,156,1000,1200,1
32,2018-01-02 06:00:00,156,1000,1200,1
33,2018-01-02 07:00:00,192,1000,1200,1
34,2018-01-02 08:00:00,198,1000,1200,1
35,2018-01-02 09:00:00,204,1000,1200,1
36,2018-01-02 10:00:00,210,1000,1200,1
37,2018-01-02 11:00:00,198,1000,1200,1
38,2018-01-02 12:00:00,204,1000,1200,1
39,2018-01-02 13:00:00,192,1000,1200,1
40,2018-01-02 14:00:00,186,1000,1200,1
41,2018-01-02 15:00:00,198,1000,1200,1
42,2018-01-02 16:00:00,192,1000,1200,1
43,2018-01-02 17:00:00,168,1000,1200,1
44,2018-01-02 18:00:00,156,1000,1200,1
45,2018-01-02 19:00:00,162,1000,1200,1
46,2018-01-02 20:00:00,156,1000,1200,1
47,2018-01-02 21:00:00,150,1000,1200,1
48,2018-01-02 22:00:00,150,1000,1200,1
49,2018-01-02 23:00:00,150,1000,1200,1
50,2018-01-03 00:00:00,150,1000,1200,1
51,2018-01-03 01:00:00,156,1000,1200,1
52,2018-01-03 02:00:00,150,1000,1200,1
53,2018-01-03 03:00:00,144,1000,1200,1
54,2018-01-03 04:00:00,138,1000,1200,1
55,2018-01-03 05:00:00,144,1000,1200,1
56,2018-01-03 06:00:00,144,1000,1200,1
57,2018-01-03 07:00:00,174,1000,1200,1
58,2018-01-03 08:00:00,186,1000,1200,1
59,2018-01-03 09:00:00,198,1000,1200,1
60,2018-01-03 10:00:00,192,1000,1200,1
61,2018-01-03 11:00:00,216,1000,1200,1
62,2018-01-03 12:00:00,216,1000,1200,1
63,2018-01-03 13:00:00,216,1000,1200,1
64,2018-01-03 14:00:00,222,1000,1200,1
65,2018-01-03 15:00:00,222,1000,1200,1
66,2018-01-03 16:00:00,210,1000,1200,1
67,2018-01-03 17:00:00,174,1000,1200,1
68,2018-01-03 18:00:00,174,1000,1200,1
69,2018-01-03 19:00:00,156,1000,1200,1
70,2018-01-03 20:00:00,156,1000,1200,1
71,2018-01-03 21:00:00,162,1000,1200,1
72,2018-01-03 22:00:00,156,1000,1200,1
73,2018-01-03 23:00:00,156,1000,1200,1
74,2018-01-04 00:00:00,150,1000,1200,1
75,2018-01-04 01:00:00,156,1000,1200,1
76,2018-01-04 02:00:00,150,1000,1200,1
77,2018-01-04 03:00:00,150,1000,1200,1
