Dato,USD,EUR,SEK,DKK,GBP,CHF,JPY,CAD,ISK,AUD
31.12.2018,8.6911,9.9448,97.11,133.19,11.0672,882.26,7.8852,6.38,7.4704,6.1394
28.12.2018,8.7592,10.0359,97.5,134.4,11.0861,889.53,7.9333,6.4389,7.5335,6.1779
27.12.2018,8.7641,9.974,96.52,133.63,11.0923,882.85,7.9013,6.4416,7.4878,6.1717
21.12.2018,8.6506,9.9209,96.66,132.86,10.9664,876.63,7.7772,6.4071,7.2798,6.1549
20.12.2018,8.7033,9.9326,95.89,133.06,11.0079,877,7.7812,6.4548,7.1667,6.1872
19.12.2018,8.7059,9.9217,96.22,132.87,11.0295,877.52,7.7455,6.4629,7.138,6.2622
18.12.2018,8.6566,9.8335,95.54,131.66,10.9515,872.47,7.6934,6.4614,7.0643,6.2224
17.12.2018,8.6084,9.746,95.08,130.55,10.8388,863.43,7.5905,6.4355,6.991,6.1791
14.12.2018,8.5866,9.7488,94.56,130.59,10.8406,863.76,7.562,6.4139,6.9536,6.1635
13.12.2018,8.5578,9.7401,94.46,130.51,10.8316,862.51,7.5472,6.4096,6.9468,6.1976
12.12.2018,8.5782,9.7135,94.5,130.14,10.7219,863.35,7.5646,6.4119,6.9271,6.184
11.12.2018,8.5434,9.7177,94.15,130.2,10.7553,864.19,7.5552,6.3693,6.9309,6.1487
10.12.2018,8.4591,9.6666,93.77,129.5,10.7676,855.66,7.5099,6.3557,6.9645,6.1066
07.12.2018,8.528,9.6976,94.73,129.93,10.8844,858.57,7.5595,6.369,7.0149,6.1587
06.12.2018,8.5365,9.668,94.94,129.52,10.8439,854.68,7.5471,6.3684,6.9453,6.1736
05.12.2018,8.5398,9.6692,94.45,129.57,10.843,853.98,7.55,6.4279,6.926,6.2289
04.12.2018,8.5006,9.6724,94.61,129.6,10.8281,853.47,7.514,6.4526,6.9282,6.2743
03.12.2018,8.5158,9.682,94.34,129.75,10.9156,854.4,7.5049,6.4621,6.9454,6.2864
30.11.2018,8.5513,9.7318,94.14,130.42,10.9251,858.13,7.5362,6.4305,6.8386,6.2527
29.11.2018,8.5369,9.7205,94.66,130.26,10.952,859.88,7.5381,6.4388,6.8938,6.2533
28.11.2018,8.6064,9.705,94.46,130.06,10.968,860.55,7.5594,6.4591,6.853,6.225
27.11.2018,8.603,9.7304,94.48,130.42,10.9736,860.39,7.5737,6.4887,6.9009,6.2226
