Date,USD,EUR,SEK,DKK,GBP,CHF,JPY,CAD,ISK,AUD
31.12.2019,8.8176,9.8807,94.26,132.28,11.5856,909.69,8.1151,6.7569,7.2762,6.1804
30.12.2019,8.8119,9.8683,94.53,132.1,11.5637,905.38,8.0739,6.7409,7.2649,6.1568
27.12.2019,8.8831,9.8897,94.38,132.44,11.5862,907.22,8.1123,6.775,7.2911,6.1772
23.12.2019,8.9874,9.966,95.2,133.34,11.703,916.16,8.2181,6.8334,7.3583,6.2103
20.12.2019,8.9881,9.9926,95.46,133.7,11.6944,917.38,8.2159,6.8368,7.2947,6.191
19.12.2019,8.9976,10.0109,95.62,133.93,11.8003,917.76,8.2116,6.859,7.2967,6.1878
18.12.2019,9.037,10.0604,95.87,134.63,11.8307,921,8.2583,6.86,7.3424,6.1796
17.12.2019,9.0357,10.0684,96.33,134.68,11.9769,918.84,8.2453,6.861,7.3593,6.197
16.12.2019,9.0174,10.0529,96.25,134.5,12.0752,917.28,8.2426,6.857,7.3354,6.2023
13.12.2019,9.0468,10.1032,96.61,135.18,12.1383,920.88,8.2526,6.8707,7.39,6.264
12.12.2019,9.1095,10.1458,97.07,135.76,12.0435,927.05,8.3851,6.9161,7.4877,6.2694
11.12.2019,9.1767,10.1702,96.59,136.1,12.0358,931.31,8.4359,6.9321,7.551,6.2583
10.12.2019,9.1478,10.1303,95.88,135.57,12.0246,926.32,8.4239,6.9151,7.5179,6.25
09.12.2019,9.1451,10.1209,96.17,135.44,12.0454,923.5,8.4234,6.8978,7.5296,6.2466
06.12.2019,9.1342,10.142,96.24,135.75,12.014,924.77,8.4006,6.926,7.5486,6.2445
05.12.2019,9.1509,10.141,96.3,135.71,12.0228,925.43,8.4038,6.9392,7.5335,6.2634
04.12.2019,9.2089,10.2007,96.45,136.54,11.9678,933.76,8.4873,6.9262,7.5784,6.2746
03.12.2019,9.1587,10.1436,96.18,135.78,11.8762,923.96,8.3922,6.8857,7.5368,6.2654
02.12.2019,9.22,10.1587,96.2,135.96,11.9103,921.97,8.4132,6.9411,7.5972,6.2461
29.11.2019,9.1825,10.1115,96.16,135.34,11.8629,919.4,8.3859,6.9142,7.4898,6.2241
28.11.2019,9.1764,10.1032,95.82,135.23,11.8782,918.27,8.3863,6.9037,7.4851,6.1859
27.11.2019,9.1944,10.1215,95.85,135.41,11.8016,920.68,8.4209,6.9257,7.4745,6.2299
26.11.2019,9.179,10.1102,95.26,135.33,11.8254,919.47,8.4245,6.8961,7.4659,6.2223
25.11.2019,9.1464,10.092,95.31,135.05,11.7787,917.81,8.4056,6.8863,7.4132,6.2156
22.11.2019,9.1396,10.1134,95.13,135.33,11.8056,919.11,8.4158,6.883,7.4197,6.2049
21.11.2019,9.1454,10.1262,94.8,135.51,11.8259,922.66,8.4235,6.8718,7.451,6.2161
20.11.2019,9.1775,10.1572,94.84,135.94,11.8527,926.46,8.4632,6.9038,7.4635,6.2545
19.11.2019,9.1311,10.1068,94.64,135.26,11.8293,922.24,8.4034,6.912,7.4152,6.2082
18.11.2019,9.0877,10.0478,94.34,134.47,11.764,918.04,8.3442,6.875,7.3938,6.1924
15.11.2019,9.1507,10.0827,94.53,134.94,11.7806,925.15,8.4307,6.9143,7.4188,6.2142
14.11.2019,9.1888,10.1173,94.34,135.4,11.8012,929.19,8.4495,6.9331,7.3475,6.2548
13.11.2019,9.1873,10.1129,94.35,135.34,11.8103,926.61,8.4241,6.9351,7.3443,6.2896
12.11.2019,9.1334,10.0728,94.18,134.81,11.7355,918.3,8.3616,6.8996,7.3146,6.2573
11.11.2019,9.156,10.0995,94.21,135.16,11.7243,919.09,8.4031,6.9246,7.3336,6.2801
08.11.2019,9.1229,10.0794,94.53,134.9,11.6928,916.41,8.3482,6.9168,7.32,6.2775
07.11.2019,9.1432,10.1256,95.07,135.54,11.7664,921.04,8.3921,6.9432,7.3531,6.3042
06.11.2019,9.201,10.1942,95.22,136.44,11.8536,926.87,8.4436,6.9887,7.4005,6.3422
05.11.2019,9.116,10.1511,94.99,135.88,11.7551,921.93,8.3794,6.9421,7.3605,6.301
04.11.2019,9.0774,10.1435,95.12,135.77,11.7452,920.91,8.3817,6.9116,7.3552,6.2843
