,Unnamed: 0,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
0,0,2018-01-01 00:00:00,24.5,100,120,11
1,1,2018-01-01 01:00:00,26.0,100,120,11
2,2,2018-01-01 02:00:00,23.0,100,120,11
3,3,2018-01-01 03:00:00,23.5,100,120,11
4,4,2018-01-01 04:00:00,22.5,100,120,11
5,5,2018-01-01 05:00:00,21.0,100,120,11
6,6,2018-01-01 06:00:00,19.5,100,120,11
7,7,2018-01-01 07:00:00,18.5,100,120,11
8,8,2018-01-01 08:00:00,18.5,100,120,11
9,9,2018-01-01 09:00:00,21.0,100,120,11
10,10,2018-01-01 10:00:00,23.0,100,120,11
11,11,2018-01-01 11:00:00,21.5,100,120,11
12,12,2018-01-01 12:00:00,22.5,100,120,11
13,13,2018-01-01 13:00:00,20.0,100,120,11
14,14,2018-01-01 14:00:00,20.0,100,120,11
15,15,2018-01-01 15:00:00,20.5,100,120,11
16,16,2018-01-01 16:00:00,24.0,100,120,11
17,17,2018-01-01 17:00:00,24.5,100,120,11
18,18,2018-01-01 18:00:00,25.5,100,120,11
19,19,2018-01-01 19:00:00,24.5,100,120,11
20,20,2018-01-01 20:00:00,24.5,100,120,11
21,21,2018-01-01 21:00:00,24.0,100,120,11
22,22,2018-01-01 22:00:00,21.5,100,120,11
23,23,2018-01-01 23:00:00,23.0,100,120,11
24,24,2018-01-02 00:00:00,23.0,100,120,11
25,25,2018-01-02 01:00:00,19.5,100,120,11
26,26,2018-01-02 02:00:00,19.5,100,120,11
27,27,2018-01-02 03:00:00,22.0,100,120,11
28,28,2018-01-02 04:00:00,20.5,100,120,11
29,29,2018-01-02 05:00:00,22.5,100,120,11
30,30,2018-01-02 06:00:00,20.0,100,120,11
31,31,2018-01-02 07:00:00,19.5,100,120,11
32,32,2018-01-02 08:00:00,22.0,100,120,11
33,33,2018-01-02 09:00:00,23.0,100,120,11
34,34,2018-01-02 10:00:00,22.0,100,120,11
35,35,2018-01-02 11:00:00,20.5,100,120,11
36,36,2018-01-02 12:00:00,22.5,100,120,11
37,37,2018-01-02 13:00:00,21.5,100,120,11
38,38,2018-01-02 14:00:00,19.5,100,120,11
39,39,2018-01-02 15:00:00,17.5,100,120,11
40,40,2018-01-02 16:00:00,19.5,100,120,11
41,41,2018-01-02 17:00:00,25.0,100,120,11
42,42,2018-01-02 18:00:00,26.5,100,120,11
43,43,2018-01-02 19:00:00,27.0,100,120,11
44,44,2018-01-02 20:00:00,25.5,100,120,11
45,45,2018-01-02 21:00:00,26.5,100,120,11
46,46,2018-01-02 22:00:00,23.0,100,120,11
47,47,2018-01-02 23:00:00,24.5,100,120,11
48,48,2018-01-03 00:00:00,23.0,100,120,11
49,49,2018-01-03 01:00:00,23.5,100,120,11
50,50,2018-01-03 02:00:00,21.5,100,120,11
51,51,2018-01-03 03:00:00,18.5,100,120,11
52,52,2018-01-03 04:00:00,20.5,100,120,11
53,53,2018-01-03 05:00:00,21.0,100,120,11
54,54,2018-01-03 06:00:00,20.5,100,120,11
55,55,2018-01-03 07:00:00,20.0,100,120,11
56,56,2018-01-03 08:00:00,24.0,100,120,11
57,57,2018-01-03 09:00:00,21.0,100,120,11
58,58,2018-01-03 10:00:00,22.5,100,120,11
59,59,2018-01-03 11:00:00,26.0,100,120,11
60,60,2018-01-03 12:00:00,25.0,100,120,11
61,61,2018-01-03 13:00:00,26.5,100,120,11
62,62,2018-01-03 14:00:00,24.0,100,120,11
63,63,2018-01-03 15:00:00,25.5,100,120,11
64,64,2018-01-03 16:00:00,26.0,100,120,11
65,65,2018-01-03 17:00:00,29.0,100,120,11
66,66,2018-01-03 18:00:00,28.0,100,120,11
67,67,2018-01-03 19:00:00,27.0,100,120,11
68,68,2018-01-03 20:00:00,28.5,100,120,11
69,69,2018-01-03 21:00:00,28.0,100,120,11
70,70,2018-01-03 22:00:00,25.0,100,120,11
71,71,2018-01-03 23:00:00,25.5,100,120,11
72,72,2018-01-04 00:00:00,25.5,100,120,11
73,73,2018-01-04 01:00:00,25.5,100,120,11
74,74,2018-01-04 02:00:00,21.5,100,120,11
75,75,2018-01-04 03:00:00,20.5,100,120,11
76,76,2018-01-04 04:00:00,21.5,100,120,11
77,77,2018-01-04 05:00:00,20.0,100,120,11
78,78,2018-01-04 06:00:00,21.0,100,120,11
79,79,2018-01-04 07:00:00,22.5,100,120,11
80,80,2018-01-04 08:00:00,24.0,100,120,11
81,81,2018-01-04 09:00:00,22.0,100,120,11
82,82,2018-01-04 10:00:00,22.0,100,120,11
83,83,2018-01-04 11:00:00,22.5,100,120,11
84,84,2018-01-04 12:00:00,24.0,100,120,11
85,85,2018-01-04 13:00:00,24.0,100,120,11
86,86,2018-01-04 14:00:00,23.5,100,120,11
87,87,2018-01-04 15:00:00,25.0,100,120,11
88,88,2018-01-04 16:00:00,26.5,100,120,11
89,89,2018-01-04 17:00:00,28.0,100,120,11
90,90,2018-01-04 18:00:00,28.0,100,120,11
91,91,2018-01-04 19:00:00,25.5,100,120,11
92,92,2018-01-04 20:00:00,27.5,100,120,11
93,93,2018-01-04 21:00:00,24.0,100,120,11
94,94,2018-01-04 22:00:00,24.5,100,120,11
95,95,2018-01-04 23:00:00,25.0,100,120,11
96,96,2018-01-05 00:00:00,22.0,100,120,11
97,97,2018-01-05 01:00:00,24.0,100,120,11
98,98,2018-01-05 02:00:00,22.5,100,120,11
99,99,2018-01-05 03:00:00,20.5,100,120,11
100,100,2018-01-05 04:00:00,21.5,100,120,11
101,101,2018-01-05 05:00:00,21.5,100,120,11
102,102,2018-01-05 06:00:00,23.5,100,120,11
103,103,2018-01-05 07:00:00,22.0,100,120,11
104,104,2018-01-05 08:00:00,24.5,100,120,11
105,105,2018-01-05 09:00:00,20.5,100,120,11
106,106,2018-01-05 10:00:00,23.0,100,120,11
107,107,2018-01-05 11:00:00,22.0,100,120,11
108,108,2018-01-05 12:00:00,25.0,100,120,11
109,109,2018-01-05 13:00:00,24.5,100,120,11
110,110,2018-01-05 14:00:00,22.5,100,120,11
111,111,2018-01-05 15:00:00,25.0,100,120,11
112,112,2018-01-05 16:00:00,24.5,100,120,11
113,113,2018-01-05 17:00:00,26.0,100,120,11
114,114,2018-01-05 18:00:00,31.0,100,120,11
115,115,2018-01-05 19:00:00,30.5,100,120,11
116,116,2018-01-05 20:00:00,27.5,100,120,11
117,117,2018-01-05 21:00:00,26.5,100,120,11
118,118,2018-01-05 22:00:00,25.5,100,120,11
119,119,2018-01-05 23:00:00,24.0,100,120,11
