,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
0,2018-01-01 00:00:00,25.6,100,120,17
1,2018-01-01 01:00:00,27.2,100,120,17
2,2018-01-01 02:00:00,28.0,100,120,17
3,2018-01-01 03:00:00,22.4,100,120,17
4,2018-01-01 04:00:00,27.2,100,120,17
5,2018-01-01 05:00:00,25.6,100,120,17
6,2018-01-01 06:00:00,27.2,100,120,17
7,2018-01-01 07:00:00,24.8,100,120,17
8,2018-01-01 08:00:00,25.6,100,120,17
9,2018-01-01 09:00:00,24.8,100,120,17
10,2018-01-01 10:00:00,26.4,100,120,17
11,2018-01-01 11:00:00,36.8,100,120,17
12,2018-01-01 12:00:00,32.0,100,120,17
13,2018-01-01 13:00:00,34.4,100,120,17
14,2018-01-01 14:00:00,32.8,100,120,17
15,2018-01-01 15:00:00,30.4,100,120,17
16,2018-01-01 16:00:00,28.8,100,120,17
17,2018-01-01 17:00:00,31.2,100,120,17
18,2018-01-01 18:00:00,33.6,100,120,17
19,2018-01-01 19:00:00,32.8,100,120,17
20,2018-01-01 20:00:00,29.6,100,120,17
21,2018-01-01 21:00:00,29.6,100,120,17
22,2018-01-01 22:00:00,32.8,100,120,17
23,2018-01-01 23:00:00,30.4,100,120,17
24,2018-01-02 00:00:00,29.6,100,120,17
25,2018-01-02 01:00:00,25.6,100,120,17
26,2018-01-02 02:00:00,21.6,100,120,17
27,2018-01-02 03:00:00,24.0,100,120,17
28,2018-01-02 04:00:00,23.2,100,120,17
29,2018-01-02 05:00:00,24.0,100,120,17
30,2018-01-02 06:00:00,24.0,100,120,17
31,2018-01-02 07:00:00,27.2,100,120,17
32,2018-01-02 08:00:00,28.8,100,120,17
33,2018-01-02 09:00:00,25.6,100,120,17
34,2018-01-02 10:00:00,31.2,100,120,17
35,2018-01-02 11:00:00,29.6,100,120,17
36,2018-01-02 12:00:00,26.4,100,120,17
37,2018-01-02 13:00:00,24.0,100,120,17
38,2018-01-02 14:00:00,29.6,100,120,17
39,2018-01-02 15:00:00,34.4,100,120,17
40,2018-01-02 16:00:00,32.0,100,120,17
41,2018-01-02 17:00:00,34.4,100,120,17
42,2018-01-02 18:00:00,30.4,100,120,17
43,2018-01-02 19:00:00,30.4,100,120,17
44,2018-01-02 20:00:00,31.2,100,120,17
45,2018-01-02 21:00:00,36.0,100,120,17
46,2018-01-02 22:00:00,33.6,100,120,17
47,2018-01-02 23:00:00,28.0,100,120,17
48,2018-01-03 00:00:00,24.8,100,120,17
49,2018-01-03 01:00:00,24.8,100,120,17
50,2018-01-03 02:00:00,23.2,100,120,17
51,2018-01-03 03:00:00,25.6,100,120,17
52,2018-01-03 04:00:00,23.2,100,120,17
