,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
0,2018-01-01 00:00:00,59.2,315,378
1,2018-01-01 01:00:00,60.8,315,378
2,2018-01-01 02:00:00,60.8,315,378
3,2018-01-01 03:00:00,67.2,315,378
4,2018-01-01 04:00:00,62.4,315,378
5,2018-01-01 05:00:00,57.6,315,378
6,2018-01-01 06:00:00,59.2,315,378
7,2018-01-01 07:00:00,56.0,315,378
8,2018-01-01 08:00:00,56.0,315,378
9,2018-01-01 09:00:00,56.0,315,378
10,2018-01-01 10:00:00,57.6,315,378
11,2018-01-01 11:00:00,60.8,315,378
12,2018-01-01 12:00:00,62.4,315,378
13,2018-01-01 13:00:00,60.8,315,378
14,2018-01-01 14:00:00,65.6,315,378
15,2018-01-01 15:00:00,65.6,315,378
16,2018-01-01 16:00:00,70.4,315,378
17,2018-01-01 17:00:00,73.6,315,378
18,2018-01-01 18:00:00,75.2,315,378
19,2018-01-01 19:00:00,80.0,315,378
20,2018-01-01 20:00:00,80.0,315,378
21,2018-01-01 21:00:00,70.4,315,378
22,2018-01-01 22:00:00,68.8,315,378
23,2018-01-01 23:00:00,64.0,315,378
24,2018-01-02 00:00:00,64.0,315,378
25,2018-01-02 01:00:00,56.0,315,378
26,2018-01-02 02:00:00,54.4,315,378
27,2018-01-02 03:00:00,56.0,315,378
28,2018-01-02 04:00:00,57.6,315,378
29,2018-01-02 05:00:00,59.2,315,378
30,2018-01-02 06:00:00,60.8,315,378
31,2018-01-02 07:00:00,67.2,315,378
32,2018-01-02 08:00:00,68.8,315,378
33,2018-01-02 09:00:00,67.2,315,378
34,2018-01-02 10:00:00,65.6,315,378
35,2018-01-02 11:00:00,64.0,315,378
36,2018-01-02 12:00:00,65.6,315,378
37,2018-01-02 13:00:00,67.2,315,378
38,2018-01-02 14:00:00,59.2,315,378
39,2018-01-02 15:00:00,64.0,315,378
40,2018-01-02 16:00:00,65.6,315,378
41,2018-01-02 17:00:00,70.4,315,378
42,2018-01-02 18:00:00,81.6,315,378
43,2018-01-02 19:00:00,80.0,315,378
44,2018-01-02 20:00:00,84.8,315,378
45,2018-01-02 21:00:00,75.2,315,378
46,2018-01-02 22:00:00,70.4,315,378
47,2018-01-02 23:00:00,70.4,315,378
48,2018-01-03 00:00:00,65.6,315,378
