timestamp,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
2018-01-01 00:00:00,"26,31","26,33","26,33","26,33","26,33","26,33","21,80","26,33","26,33","26,33","26,33","26,33","26,33","26,33","26,33","26,33","26,33"
2018-01-01 01:00:00,"26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43","26,43"
2018-01-01 02:00:00,"26,09","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10","26,10"
2018-01-01 03:00:00,"24,63","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70","24,70"
2018-01-01 04:00:00,"24,67","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74","24,74"
2018-01-01 05:00:00,"24,24","18,01","18,01","18,01","18,01","18,01","18,01","18,01","24,76","24,76","24,76","24,67","24,67","24,67","18,01","18,01","18,01"
2018-01-01 06:00:00,"24,18","17,78","17,78","17,78","17,78","17,78","10,18","10,18","24,98","24,98","24,98","24,98","24,98","24,98","17,78","17,78","17,78"
2018-01-01 07:00:00,"24,29","17,80","17,80","17,80","17,80","17,80","17,80","17,80","25,71","25,71","25,71","25,61","25,61","25,61","17,80","17,80","17,80"
2018-01-01 08:00:00,"24,15","19,76","19,76","19,76","19,76","19,76","19,76","19,76","25,48","25,48","25,48","25,48","25,48","25,48","19,76","19,76","19,76"
2018-01-01 09:00:00,"24,26","20,73","20,73","20,73","20,73","20,73","20,73","20,73","25,54","25,54","25,54","25,54","25,54","25,54","20,73","20,73","20,73"
2018-01-01 10:00:00,"25,84","24,76","24,76","24,76","24,76","24,76","24,76","24,76","26,07","26,07","26,07","26,07","26,07","26,07","24,76","24,76","24,76"
2018-01-01 11:00:00,"26,06","25,68","25,68","25,68","25,68","25,68","25,68","25,68","26,12","26,12","26,12","26,12","26,12","26,12","25,68","25,68","25,68"
2018-01-01 12:00:00,"25,86","24,09","24,09","24,09","24,09","24,09","16,56","19,99","26,16","26,16","26,16","26,16","26,16","26,16","24,09","24,09","24,09"
2018-01-01 13:00:00,"25,96","25,01","25,01","25,01","25,01","25,01","13,21","25,01","26,19","26,19","26,19","26,19","26,19","26,19","25,01","25,01","25,01"
2018-01-01 14:00:00,"26,03","25,81","25,81","25,81","25,81","25,81","9,15","25,81","26,19","26,19","26,19","26,19","26,19","26,19","25,81","25,81","25,81"
2018-01-01 15:00:00,"26,43","26,46","26,46","26,46","26,46","26,46","13,29","26,46","26,46","26,46","26,46","26,46","26,46","26,46","26,46","26,46","26,46"
2018-01-01 16:00:00,"27,02","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03","27,03"
2018-01-01 17:00:00,"27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43","27,43"
2018-01-01 18:00:00,"27,30","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29","27,29"
2018-01-01 19:00:00,"26,97","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96","26,96"
2018-01-01 20:00:00,"26,69","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70","26,70"
2018-01-01 21:00:00,"26,45","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47"
2018-01-01 22:00:00,"26,07","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09"
2018-01-01 23:00:00,"25,02","24,88","24,88","24,88","24,88","24,88","24,88","24,88","25,02","25,02","25,02","25,77","25,77","25,77","24,88","24,88","24,88"
2018-01-02 00:00:00,"25,74","25,28","25,28","25,28","25,28","25,28","18,12","18,12","25,90","25,90","25,90","25,90","25,90","25,90","25,28","25,28","25,28"
2018-01-02 01:00:00,"25,13","23,16","23,16","23,16","23,16","23,16","14,99","14,99","25,52","25,52","25,52","25,52","25,52","25,52","23,16","23,16","23,16"
2018-01-02 02:00:00,"25,40","24,78","24,78","24,78","24,78","24,78","17,79","17,79","25,86","25,86","25,86","25,58","25,58","25,58","24,78","24,78","24,78"
2018-01-02 03:00:00,"25,49","25,03","25,03","25,03","25,03","25,03","24,51","24,51","25,58","25,58","25,58","25,53","25,53","25,53","25,03","25,03","25,03"
2018-01-02 04:00:00,"25,66","25,73","25,73","25,73","25,73","25,73","11,83","17,82","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73"
2018-01-02 05:00:00,"26,75","26,84","26,84","26,84","26,84","26,84","14,55","26,84","26,84","26,84","26,84","26,84","26,84","26,84","26,84","26,84","26,84"
2018-01-02 06:00:00,"27,69","27,80","27,80","27,80","27,80","27,80","22,58","27,80","27,80","27,80","27,80","27,80","27,80","27,80","27,80","27,80","27,80"
2018-01-02 07:00:00,"30,73","30,50","30,50","30,50","30,50","30,50","41,92","41,92","30,50","30,50","30,50","30,50","30,50","30,50","30,50","30,50","30,50"
2018-01-02 08:00:00,"33,77","31,93","31,93","31,93","31,93","31,93","47,95","47,95","31,93","31,93","31,93","31,93","31,93","31,93","31,93","31,93","31,93"
2018-01-02 09:00:00,"34,04","33,53","33,53","33,53","33,53","33,53","38,02","38,02","33,53","33,53","33,53","33,53","33,53","33,53","33,53","33,53","33,53"
2018-01-02 10:00:00,"35,07","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04","35,04"
2018-01-02 11:00:00,"35,24","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22","35,22"
2018-01-02 12:00:00,"34,57","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56","34,56"
2018-01-02 13:00:00,"34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10","34,10"
2018-01-02 14:00:00,"36,02","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98","35,98"
2018-01-02 15:00:00,"38,06","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05","38,05"
2018-01-02 16:00:00,"41,68","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67","41,67"
2018-01-02 17:00:00,"42,40","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39","42,39"
2018-01-02 18:00:00,"39,05","37,79","37,79","37,79","37,79","37,79","45,06","45,06","37,79","37,79","37,79","37,79","37,79","37,79","37,79","37,79","37,79"
2018-01-02 19:00:00,"35,02","33,70","33,70","33,70","34,08","33,70","41,08","41,08","33,70","33,70","33,70","33,70","33,70","33,70","33,70","34,08","34,08"
2018-01-02 20:00:00,"30,88","30,88","30,88","30,88","30,88","30,88","34,94","31,55","30,88","30,88","30,88","30,88","30,88","30,88","30,88","30,88","30,88"
2018-01-02 21:00:00,"28,81","28,85","28,85","28,85","28,85","28,85","25,46","28,85","28,85","28,85","28,85","28,85","28,85","28,85","28,85","28,85","28,85"
2018-01-02 22:00:00,"27,95","27,99","27,99","27,99","27,99","27,99","21,30","27,99","27,99","27,99","27,99","27,99","27,99","27,99","27,99","27,99","27,99"
2018-01-02 23:00:00,"27,55","27,60","27,60","27,60","27,60","27,60","18,97","27,60","27,60","27,60","27,60","27,60","27,60","27,60","27,60","27,60","27,60"
2018-01-03 00:00:00,"27,05","27,12","27,12","27,12","27,12","27,12","18,11","18,11","27,12","26,86","27,12","27,12","27,12","27,12","27,12","27,12","27,12"
2018-01-03 01:00:00,"26,52","26,61","26,61","26,61","26,61","26,61","1,38","1,38","26,61","26,61","26,61","26,61","26,61","26,61","26,61","26,61","26,61"
2018-01-03 02:00:00,"25,96","26,26","26,26","26,26","26,26","26,26","0,02","0,02","26,26","26,12","26,26","26,26","26,26","26,26","26,26","26,26","26,26"
2018-01-03 03:00:00,"25,52","26,23","26,23","26,23","26,23","26,23","-5,99","-5,99","26,23","26,09","26,23","26,23","26,23","26,23","26,23","26,23","26,23"
